Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.000,1.000,0.320,1.000,0.320,6.000,0.130,5.000,0.130,7.000,-0.130,6.000,-0.140,5.000,0.050,5.000,0.050,SF,0.000,15.000,0.050,15.000,0.040,16.000,0.020,16.000,0.020,12.000,-0.020,15.000,-0.010,12.000,0.010,12.000,0.010,1.000,-420.000,350.000
TB,1.000,2.000,0.280,2.000,0.280,13.000,0.060,12.000,0.060,1.000,-0.220,2.000,-0.210,16.000,0.000,14.000,0.010,CAR,0.000,16.000,0.010,16.000,0.020,8.000,0.100,8.000,0.100,26.000,0.080,26.000,0.080,18.000,-0.010,17.000,-0.010,0.000,-265.000,225.000
PIT,1.000,4.000,0.250,4.000,0.260,15.000,0.020,14.000,0.020,2.000,-0.220,1.000,-0.220,11.000,0.020,10.000,0.020,CIN,0.000,31.000,-0.230,29.000,-0.230,25.000,-0.140,25.000,-0.130,29.000,0.110,29.000,0.120,10.000,0.020,11.000,0.020,1.000,-310.000,260.000
BAL,0.000,5.000,0.250,6.000,0.220,23.000,-0.030,23.000,-0.060,5.000,-0.170,5.000,-0.160,1.000,0.110,2.000,0.110,NE,1.000,26.000,-0.200,30.000,-0.240,24.000,-0.090,24.000,-0.120,31.000,0.150,31.000,0.170,7.000,0.040,4.000,0.050,0.000,-320.000,265.000
IND,1.000,6.000,0.220,5.000,0.240,22.000,-0.030,21.000,-0.020,3.000,-0.200,3.000,-0.210,6.000,0.050,6.000,0.050,TEN,0.000,12.000,0.090,12.000,0.110,3.000,0.200,3.000,0.220,18.000,0.040,17.000,0.040,30.000,-0.070,30.000,-0.070,0.000,-125.000,105.000
GB,1.000,7.000,0.200,7.000,0.190,2.000,0.250,2.000,0.230,21.000,0.060,21.000,0.050,13.000,0.010,13.000,0.010,JAX,0.000,30.000,-0.220,31.000,-0.270,21.000,-0.010,22.000,-0.050,32.000,0.180,32.000,0.190,25.000,-0.030,25.000,-0.030,1.000,-1100.000,700.000
SEA,0.000,8.000,0.160,9.000,0.160,4.000,0.180,4.000,0.170,24.000,0.070,22.000,0.060,4.000,0.050,7.000,0.050,LAR,1.000,9.000,0.120,10.000,0.140,5.000,0.140,6.000,0.130,8.000,-0.060,8.000,-0.080,31.000,-0.070,31.000,-0.070,0.000,130.000,-150.000
LAR,1.000,9.000,0.120,10.000,0.140,5.000,0.140,6.000,0.130,8.000,-0.060,8.000,-0.080,31.000,-0.070,31.000,-0.070,SEA,0.000,8.000,0.160,9.000,0.160,4.000,0.180,4.000,0.170,24.000,0.070,22.000,0.060,4.000,0.050,7.000,0.050,1.000,-150.000,130.000
MIA,1.000,10.000,0.120,8.000,0.180,18.000,0.000,15.000,0.020,14.000,-0.020,9.000,-0.050,2.000,0.110,1.000,0.110,LAC,0.000,19.000,-0.070,19.000,-0.070,11.000,0.070,10.000,0.080,16.000,0.030,18.000,0.040,32.000,-0.110,32.000,-0.110,1.000,-125.000,105.000
ARI,1.000,11.000,0.100,11.000,0.110,9.000,0.080,9.000,0.100,10.000,-0.030,11.000,-0.030,23.000,-0.020,23.000,-0.020,BUF,0.000,13.000,0.070,13.000,0.070,10.000,0.080,11.000,0.080,17.000,0.040,19.000,0.040,8.000,0.030,9.000,0.030,1.000,-155.000,135.000
TEN,0.000,12.000,0.090,12.000,0.110,3.000,0.200,3.000,0.220,18.000,0.040,17.000,0.040,30.000,-0.070,30.000,-0.070,IND,1.000,6.000,0.220,5.000,0.240,22.000,-0.030,21.000,-0.020,3.000,-0.200,3.000,-0.210,6.000,0.050,6.000,0.050,1.000,105.000,-125.000
BUF,0.000,13.000,0.070,13.000,0.070,10.000,0.080,11.000,0.080,17.000,0.040,19.000,0.040,8.000,0.030,9.000,0.030,ARI,1.000,11.000,0.100,11.000,0.110,9.000,0.080,9.000,0.100,10.000,-0.030,11.000,-0.030,23.000,-0.020,23.000,-0.020,0.000,135.000,-155.000
MIN,1.000,14.000,0.060,14.000,0.060,7.000,0.100,7.000,0.100,15.000,-0.010,14.000,-0.010,28.000,-0.050,29.000,-0.060,CHI,0.000,17.000,-0.030,17.000,-0.020,28.000,-0.190,27.000,-0.190,4.000,-0.170,4.000,-0.190,22.000,-0.010,19.000,-0.010,0.000,-170.000,150.000
SF,0.000,15.000,0.050,15.000,0.040,16.000,0.020,16.000,0.020,12.000,-0.020,15.000,-0.010,12.000,0.010,12.000,0.010,NO,1.000,1.000,0.320,1.000,0.320,6.000,0.130,5.000,0.130,7.000,-0.130,6.000,-0.140,5.000,0.050,5.000,0.050,0.000,350.000,-420.000
CAR,0.000,16.000,0.010,16.000,0.020,8.000,0.100,8.000,0.100,26.000,0.080,26.000,0.080,18.000,-0.010,17.000,-0.010,TB,1.000,2.000,0.280,2.000,0.280,13.000,0.060,12.000,0.060,1.000,-0.220,2.000,-0.210,16.000,0.000,14.000,0.010,1.000,225.000,-265.000
CHI,0.000,17.000,-0.030,17.000,-0.020,28.000,-0.190,27.000,-0.190,4.000,-0.170,4.000,-0.190,22.000,-0.010,19.000,-0.010,MIN,1.000,14.000,0.060,14.000,0.060,7.000,0.100,7.000,0.100,15.000,-0.010,14.000,-0.010,28.000,-0.050,29.000,-0.060,1.000,150.000,-170.000
HOU,0.000,18.000,-0.070,20.000,-0.080,14.000,0.030,17.000,0.020,27.000,0.090,27.000,0.090,14.000,0.000,15.000,0.000,CLE,1.000,23.000,-0.110,22.000,-0.080,17.000,0.000,18.000,0.010,19.000,0.050,16.000,0.040,29.000,-0.060,28.000,-0.050,0.000,190.000,-220.000
LAC,0.000,19.000,-0.070,19.000,-0.070,11.000,0.070,10.000,0.080,16.000,0.030,18.000,0.040,32.000,-0.110,32.000,-0.110,MIA,1.000,10.000,0.120,8.000,0.180,18.000,0.000,15.000,0.020,14.000,-0.020,9.000,-0.050,2.000,0.110,1.000,0.110,0.000,105.000,-125.000
