Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,5-2,1,45.0%,1,45.9%,6,14.6%,6,15.0%,1,-29.9%,1,-30.2%,14,0.5%,14,0.7%
BAL,5-1,2,32.8%,2,31.7%,19,0.9%,19,0.2%,3,-18.9%,4,-18.3%,1,13.1%,1,13.3%
PIT,6-0,3,27.3%,3,27.7%,17,2.8%,17,2.8%,2,-19.4%,2,-19.6%,5,5.1%,4,5.3%
KC,6-1,4,25.7%,4,26.2%,1,25.1%,1,25.5%,13,-2.2%,13,-2.6%,24,-1.7%,24,-1.9%
IND,4-2,5,23.3%,5,23.9%,22,-3.0%,22,-2.6%,4,-18.8%,3,-18.9%,2,7.5%,2,7.7%
NO,4-2,6,21.1%,7,20.7%,7,11.1%,8,11.0%,10,-5.7%,10,-5.4%,7,4.3%,7,4.3%
LAR,5-2,7,20.5%,6,20.8%,5,19.0%,5,18.7%,11,-4.2%,11,-4.6%,25,-2.7%,25,-2.6%
SF,4-3,8,19.7%,8,20.2%,8,10.9%,7,11.2%,8,-7.5%,8,-7.7%,12,1.3%,12,1.3%
SEA,5-1,9,17.4%,9,17.3%,2,21.0%,3,20.7%,28,8.9%,27,8.5%,4,5.3%,5,5.2%
GB,5-1,10,15.0%,10,14.5%,4,20.1%,4,19.4%,22,6.1%,20,5.9%,13,1.0%,13,1.0%
ARI,5-2,11,14.1%,11,14.2%,11,7.9%,10,8.0%,9,-5.8%,9,-5.8%,15,0.4%,15,0.5%
TEN,5-1,12,11.6%,12,12.2%,3,20.7%,2,20.9%,17,2.3%,18,2.1%,31,-6.8%,31,-6.7%
MIA,3-3,13,8.8%,13,10.3%,16,3.4%,16,3.8%,14,0.7%,14,-0.4%,3,6.1%,3,6.1%
BUF,5-2,14,3.4%,15,3.1%,12,7.7%,12,7.4%,21,5.9%,21,6.0%,10,1.6%,10,1.7%
DET,3-3,15,2.6%,14,3.1%,18,2.3%,18,2.1%,18,2.7%,17,2.0%,8,3.0%,8,3.0%
CAR,3-4,16,0.6%,16,0.9%,10,7.9%,11,7.9%,23,7.0%,23,6.7%,17,-0.4%,17,-0.4%
CHI,5-2,17,-2.4%,17,-2.1%,26,-16.6%,27,-16.7%,6,-15.2%,6,-15.5%,19,-0.9%,18,-0.8%
MIN,1-5,18,-2.7%,18,-2.4%,21,-0.2%,20,0.0%,15,1.5%,15,1.3%,20,-1.0%,20,-1.0%
LAC,2-4,19,-3.4%,19,-3.4%,13,5.3%,13,5.7%,12,-3.0%,12,-2.9%,32,-11.8%,32,-12.0%
HOU,1-6,20,-6.9%,20,-7.1%,14,4.6%,14,4.5%,29,10.7%,29,10.8%,18,-0.9%,19,-0.9%
WAS,2-5,21,-8.0%,21,-8.2%,29,-22.7%,29,-22.5%,5,-18.0%,5,-17.6%,26,-3.3%,26,-3.4%
CLE,5-2,22,-9.7%,22,-8.8%,15,4.0%,15,4.4%,24,8.0%,24,7.7%,29,-5.7%,29,-5.5%
LV,3-3,23,-10.5%,23,-10.7%,9,9.2%,9,9.0%,31,18.4%,31,18.5%,22,-1.3%,22,-1.3%
ATL,1-6,24,-13.8%,24,-13.7%,23,-4.1%,23,-4.1%,27,8.7%,25,8.4%,21,-1.0%,21,-1.1%
PHI,2-4-1,25,-19.9%,25,-19.4%,27,-16.7%,25,-16.4%,16,1.8%,16,1.5%,23,-1.5%,23,-1.5%
NE,2-4,26,-20.8%,26,-22.2%,25,-14.9%,26,-16.4%,25,8.3%,28,8.6%,9,2.4%,9,2.8%
DEN,2-4,27,-24.0%,27,-24.2%,31,-28.1%,31,-28.5%,7,-8.7%,7,-8.9%,27,-4.7%,27,-4.5%
JAX,1-6,28,-24.7%,30,-25.8%,20,0.1%,21,-0.7%,32,20.0%,32,20.3%,28,-4.8%,28,-4.9%
NYG,1-6,29,-25.1%,29,-25.4%,30,-25.3%,30,-25.4%,19,4.2%,19,4.5%,6,4.4%,6,4.5%
CIN,1-5-1,30,-25.2%,28,-25.3%,28,-18.2%,28,-18.2%,26,8.5%,26,8.5%,11,1.5%,11,1.4%
DAL,2-5,31,-26.0%,31,-27.0%,24,-13.5%,24,-14.2%,30,12.3%,30,12.7%,16,-0.3%,16,-0.2%
NYJ,0-7,32,-43.9%,32,-44.8%,32,-31.9%,32,-32.2%,20,5.6%,22,6.1%,30,-6.4%,30,-6.4%

