Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,4-1,1,34.0%,1,34.0%,17,3.6%,17,3.6%,3,-19.0%,3,-19.0%,1,11.4%,1,11.4%
TB,3-2,2,26.8%,2,26.8%,11,7.2%,11,7.2%,2,-21.0%,2,-21.0%,20,-1.4%,20,-1.4%
SEA,5-0,3,25.8%,3,25.8%,3,23.6%,3,23.6%,19,3.4%,19,3.4%,4,5.7%,4,5.7%
LAR,4-1,4,24.4%,4,24.4%,4,21.8%,4,21.8%,8,-7.3%,8,-7.3%,29,-4.7%,29,-4.7%
KC,4-1,5,24.3%,5,24.3%,2,25.6%,2,25.6%,9,-4.0%,9,-4.0%,30,-5.3%,30,-5.3%
GB,4-0,6,24.0%,6,24.0%,1,31.2%,1,31.2%,29,10.2%,29,10.2%,8,3.0%,8,3.0%
IND,3-2,7,23.9%,7,23.9%,25,-9.2%,25,-9.2%,1,-24.4%,1,-24.4%,2,8.6%,2,8.6%
NO,3-2,8,18.4%,8,18.4%,16,4.4%,16,4.4%,6,-9.2%,6,-9.2%,5,4.8%,5,4.8%
PIT,4-0,9,16.7%,9,16.7%,13,6.0%,13,6.0%,7,-9.2%,7,-9.2%,11,1.6%,11,1.6%
TEN,4-0,10,15.7%,10,15.7%,5,12.7%,5,12.7%,12,-1.7%,12,-1.7%,12,1.3%,12,1.3%
MIN,1-4,11,7.7%,11,7.7%,8,8.8%,8,8.8%,15,-0.6%,15,-0.6%,21,-1.7%,21,-1.7%
HOU,1-4,12,2.4%,12,2.4%,18,3.1%,18,3.1%,18,1.5%,18,1.5%,14,0.7%,14,0.7%
MIA,2-3,13,1.3%,13,1.3%,15,4.7%,15,4.7%,26,7.9%,26,7.9%,6,4.6%,6,4.6%
CAR,3-2,14,0.0%,14,0.0%,9,8.1%,9,8.1%,23,6.4%,23,6.4%,22,-1.8%,22,-1.8%
BUF,4-1,15,-0.2%,15,-0.2%,7,9.2%,7,9.2%,27,8.9%,27,8.9%,17,-0.4%,17,-0.4%
DAL,2-3,16,-1.3%,16,-1.3%,12,6.5%,12,6.5%,24,6.4%,24,6.4%,19,-1.4%,19,-1.4%
CLE,4-1,17,-1.9%,17,-1.9%,14,5.6%,14,5.6%,17,0.8%,17,0.8%,31,-6.7%,31,-6.7%
ARI,3-2,18,-2.0%,18,-2.0%,20,1.4%,20,1.4%,20,3.6%,20,3.6%,15,0.2%,15,0.2%
SF,2-3,19,-2.0%,19,-2.0%,24,-5.2%,24,-5.2%,11,-2.3%,11,-2.3%,13,0.9%,13,0.9%
NE,2-2,20,-2.5%,20,-2.5%,19,2.3%,19,2.3%,21,4.6%,21,4.6%,16,-0.2%,16,-0.2%
LV,3-2,21,-4.7%,21,-4.7%,6,12.1%,6,12.1%,31,15.8%,31,15.8%,18,-1.1%,18,-1.1%
LAC,1-4,22,-6.4%,22,-6.4%,21,0.1%,21,0.1%,13,-1.2%,13,-1.2%,32,-7.6%,32,-7.6%
CHI,4-1,23,-7.4%,23,-7.4%,26,-14.7%,26,-14.7%,5,-9.8%,5,-9.8%,25,-2.5%,25,-2.5%
DET,1-3,24,-11.6%,24,-11.6%,23,-5.0%,23,-5.0%,30,10.8%,30,10.8%,7,4.2%,7,4.2%
ATL,0-5,25,-15.4%,25,-15.4%,22,-4.5%,22,-4.5%,28,8.9%,28,8.9%,24,-2.1%,24,-2.1%
JAX,1-4,26,-15.7%,26,-15.7%,10,8.0%,10,8.0%,32,19.5%,32,19.5%,28,-4.2%,28,-4.2%
CIN,1-3-1,27,-21.0%,27,-21.0%,27,-24.2%,27,-24.2%,14,-0.9%,14,-0.9%,9,2.3%,9,2.3%
WAS,1-4,28,-23.9%,28,-23.9%,31,-33.0%,31,-33.0%,4,-11.0%,4,-11.0%,23,-1.9%,23,-1.9%
NYG,0-5,29,-28.5%,29,-28.5%,32,-34.4%,32,-34.4%,16,0.0%,16,0.0%,3,5.9%,3,5.9%
PHI,1-3-1,30,-30.0%,30,-30.0%,29,-26.6%,29,-26.6%,22,5.1%,22,5.1%,10,1.7%,10,1.7%
DEN,1-3,31,-30.5%,31,-30.5%,30,-30.3%,30,-30.3%,10,-2.8%,10,-2.8%,26,-3.0%,26,-3.0%
NYJ,0-5,32,-35.3%,32,-35.3%,28,-25.2%,28,-25.2%,25,6.7%,25,6.7%,27,-3.4%,27,-3.4%

