Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,8-2,1,39.0%,1,41.5%,5,15.0%,5,15.3%,3,-19.8%,2,-21.9%,5,4.2%,5,4.4%
TB,7-4,2,29.9%,3,28.7%,8,9.6%,10,8.5%,2,-21.7%,3,-21.3%,21,-1.4%,21,-1.1%
PIT,10-0,3,27.4%,2,28.9%,17,0.2%,16,0.0%,1,-24.6%,1,-26.0%,8,2.6%,10,2.9%
KC,9-1,4,24.2%,4,25.3%,1,26.0%,1,26.7%,14,0.3%,16,1.2%,23,-1.5%,19,-0.3%
IND,7-3,5,19.3%,5,19.5%,16,0.4%,15,1.0%,5,-14.9%,5,-14.7%,6,4.0%,6,3.8%
SEA,7-3,6,16.5%,6,17.2%,4,16.6%,4,16.2%,23,7.0%,20,6.3%,3,7.0%,4,7.2%
LAR,7-3,7,15.6%,7,16.9%,6,13.5%,6,12.0%,8,-9.3%,7,-12.3%,29,-7.1%,29,-7.3%
BAL,6-4,8,15.2%,9,12.8%,23,-6.3%,23,-7.9%,7,-11.6%,8,-11.4%,2,9.8%,2,9.2%
GB,7-3,9,15.1%,8,13.2%,2,21.7%,3,19.9%,18,4.0%,18,3.1%,26,-2.6%,26,-3.6%
MIA,6-4,10,7.6%,10,11.6%,20,-1.9%,19,-1.6%,15,0.6%,14,-2.1%,1,10.1%,1,11.0%
ARI,6-4,11,7.5%,11,9.3%,11,7.0%,11,8.3%,12,-2.0%,12,-2.5%,22,-1.4%,22,-1.5%
BUF,7-3,12,5.7%,12,5.1%,12,6.7%,13,4.8%,17,3.5%,17,2.3%,10,2.4%,13,2.6%
TEN,7-3,13,3.2%,14,4.0%,3,20.4%,2,21.7%,26,8.7%,26,8.5%,30,-8.5%,30,-9.2%
LV,6-4,14,3.1%,13,4.6%,7,10.6%,7,10.1%,24,8.1%,22,6.7%,14,0.5%,14,1.1%
SF,4-6,15,3.0%,18,1.4%,18,-0.1%,18,-1.0%,10,-3.3%,11,-2.6%,18,-0.2%,18,-0.2%
MIN,4-6,16,2.4%,15,2.2%,9,8.1%,8,9.2%,11,-2.9%,10,-2.9%,31,-8.7%,31,-9.8%
CAR,4-7,17,1.8%,16,2.2%,13,5.9%,12,5.6%,19,6.3%,21,6.3%,11,2.2%,12,2.9%
CHI,5-5,18,-0.5%,17,1.4%,29,-20.9%,30,-21.7%,4,-18.7%,4,-20.2%,12,1.8%,9,2.9%
DET,4-6,19,-7.3%,20,-8.7%,15,0.7%,17,-0.4%,25,8.1%,24,7.9%,17,0.2%,20,-0.5%
HOU,3-7,20,-9.3%,23,-11.4%,14,2.4%,14,1.0%,29,12.0%,29,12.8%,15,0.3%,15,0.4%
WAS,3-7,21,-9.5%,19,-7.8%,28,-19.9%,28,-18.6%,6,-12.2%,6,-12.3%,24,-1.8%,23,-1.5%
CLE,7-3,22,-9.9%,21,-9.7%,22,-3.2%,22,-4.3%,16,1.3%,15,0.0%,28,-5.4%,28,-5.4%
ATL,3-7,23,-10.6%,22,-9.8%,21,-3.0%,21,-3.6%,21,6.9%,19,6.1%,19,-0.7%,16,-0.1%
LAC,3-7,24,-11.4%,25,-13.4%,10,7.5%,9,8.6%,20,6.5%,25,8.3%,32,-12.5%,32,-13.7%
NYG,3-7,25,-14.0%,24,-11.6%,24,-10.7%,24,-8.1%,28,10.0%,28,10.9%,4,6.7%,3,7.3%
NE,4-6,26,-14.2%,26,-17.4%,19,-0.9%,20,-1.9%,32,16.4%,32,19.3%,7,3.1%,7,3.7%
DAL,3-7,27,-17.8%,28,-20.0%,26,-13.2%,27,-16.5%,22,7.0%,23,7.1%,9,2.5%,8,3.5%
PHI,3-6-1,28,-20.7%,27,-18.6%,30,-20.9%,29,-19.4%,13,-1.2%,13,-2.3%,20,-1.0%,24,-1.6%
DEN,4-6,29,-23.4%,29,-23.7%,32,-26.2%,32,-26.8%,9,-5.3%,9,-5.3%,25,-2.5%,25,-2.3%
JAX,1-9,30,-23.6%,30,-26.2%,25,-11.7%,26,-16.1%,31,13.6%,30,13.0%,13,1.7%,11,2.9%
CIN,2-7-1,31,-28.2%,31,-29.5%,27,-16.3%,25,-15.7%,30,12.3%,31,13.7%,16,0.3%,17,-0.1%
NYJ,0-10,32,-36.8%,32,-37.7%,31,-23.3%,31,-23.1%,27,9.5%,27,10.7%,27,-4.1%,27,-3.8%

