Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,0.000,1.000,0.290,1.000,0.310,8.000,0.090,8.000,0.080,2.000,-0.180,3.000,-0.210,8.000,0.030,13.000,0.020,KC,1.000,3.000,0.250,2.000,0.270,2.000,0.280,2.000,0.290,18.000,0.040,19.000,0.050,13.000,0.010,9.000,0.030,1.000,120.000,-140.000
TB,1.000,2.000,0.280,3.000,0.250,5.000,0.140,4.000,0.140,5.000,-0.150,5.000,-0.120,24.000,-0.010,23.000,-0.010,ATL,0.000,19.000,-0.070,20.000,-0.050,22.000,-0.070,22.000,-0.090,14.000,-0.020,11.000,-0.050,25.000,-0.020,25.000,-0.010,0.000,-270.000,230.000
KC,1.000,3.000,0.250,2.000,0.270,2.000,0.280,2.000,0.290,18.000,0.040,19.000,0.050,13.000,0.010,9.000,0.030,NO,0.000,1.000,0.290,1.000,0.310,8.000,0.090,8.000,0.080,2.000,-0.180,3.000,-0.210,8.000,0.030,13.000,0.020,0.000,-140.000,120.000
PIT,0.000,4.000,0.240,4.000,0.230,20.000,-0.020,20.000,-0.040,1.000,-0.240,1.000,-0.260,14.000,0.010,18.000,0.010,CIN,1.000,31.000,-0.290,31.000,-0.300,30.000,-0.220,31.000,-0.220,29.000,0.110,29.000,0.110,6.000,0.030,7.000,0.030,0.000,-1200.000,750.000
LAR,0.000,5.000,0.210,5.000,0.230,6.000,0.120,7.000,0.090,3.000,-0.160,2.000,-0.220,30.000,-0.080,30.000,-0.080,NYJ,1.000,32.000,-0.380,32.000,-0.380,32.000,-0.250,32.000,-0.250,24.000,0.080,24.000,0.090,28.000,-0.050,28.000,-0.050,1.000,-3000.000,1200.000
GB,1.000,6.000,0.200,6.000,0.210,1.000,0.290,1.000,0.300,20.000,0.060,21.000,0.050,26.000,-0.030,27.000,-0.040,CAR,0.000,17.000,-0.040,17.000,-0.040,9.000,0.070,9.000,0.070,27.000,0.100,27.000,0.100,21.000,-0.010,20.000,0.000,1.000,-450.000,375.000
BUF,1.000,7.000,0.160,7.000,0.200,7.000,0.120,5.000,0.120,16.000,0.000,13.000,-0.040,5.000,0.040,5.000,0.050,DEN,0.000,28.000,-0.200,28.000,-0.190,31.000,-0.220,30.000,-0.220,13.000,-0.020,17.000,-0.010,18.000,0.000,15.000,0.010,0.000,-250.000,210.000
SEA,1.000,8.000,0.160,9.000,0.150,4.000,0.150,6.000,0.120,19.000,0.050,18.000,0.030,4.000,0.060,4.000,0.060,WAS,0.000,16.000,-0.020,14.000,0.010,29.000,-0.190,29.000,-0.170,4.000,-0.160,4.000,-0.160,15.000,0.010,11.000,0.020,0.000,-265.000,225.000
BAL,1.000,9.000,0.160,11.000,0.110,18.000,0.000,16.000,0.000,8.000,-0.070,12.000,-0.040,2.000,0.080,2.000,0.070,JAX,0.000,30.000,-0.240,29.000,-0.240,25.000,-0.100,28.000,-0.130,32.000,0.140,30.000,0.120,19.000,0.000,14.000,0.020,1.000,-1000.000,650.000
IND,1.000,10.000,0.160,8.000,0.150,16.000,0.010,12.000,0.030,6.000,-0.110,6.000,-0.100,7.000,0.030,12.000,0.020,HOU,0.000,23.000,-0.110,25.000,-0.130,12.000,0.030,13.000,0.010,30.000,0.120,31.000,0.130,23.000,-0.010,24.000,-0.010,1.000,-370.000,310.000
MIA,1.000,11.000,0.120,10.000,0.140,17.000,0.000,17.000,-0.010,11.000,-0.050,8.000,-0.080,3.000,0.070,3.000,0.060,NE,0.000,20.000,-0.070,19.000,-0.050,24.000,-0.100,24.000,-0.110,21.000,0.060,20.000,0.050,1.000,0.090,1.000,0.110,1.000,105.000,-125.000
ARI,1.000,12.000,0.070,12.000,0.070,14.000,0.020,15.000,0.000,9.000,-0.060,9.000,-0.080,22.000,-0.010,22.000,-0.010,PHI,0.000,25.000,-0.130,23.000,-0.100,27.000,-0.140,27.000,-0.130,15.000,0.000,15.000,-0.030,16.000,0.000,16.000,0.010,1.000,-265.000,225.000
TEN,1.000,13.000,0.070,13.000,0.070,3.000,0.220,3.000,0.220,26.000,0.100,28.000,0.110,29.000,-0.050,29.000,-0.050,DET,0.000,24.000,-0.120,26.000,-0.150,13.000,0.020,14.000,0.010,31.000,0.140,32.000,0.160,17.000,0.000,19.000,0.000,1.000,-380.000,320.000
SF,0.000,14.000,0.040,16.000,0.000,21.000,-0.020,21.000,-0.070,10.000,-0.060,10.000,-0.070,20.000,0.000,21.000,0.000,DAL,1.000,27.000,-0.160,27.000,-0.160,23.000,-0.090,23.000,-0.110,25.000,0.080,23.000,0.080,10.000,0.020,8.000,0.030,0.000,-220.000,190.000
CHI,1.000,15.000,-0.010,15.000,0.010,26.000,-0.130,25.000,-0.120,7.000,-0.100,7.000,-0.090,9.000,0.020,6.000,0.040,MIN,0.000,18.000,-0.040,21.000,-0.060,11.000,0.030,11.000,0.030,12.000,-0.030,14.000,-0.030,31.000,-0.100,31.000,-0.120,0.000,130.000,-150.000
WAS,0.000,16.000,-0.020,14.000,0.010,29.000,-0.190,29.000,-0.170,4.000,-0.160,4.000,-0.160,15.000,0.010,11.000,0.020,SEA,1.000,8.000,0.160,9.000,0.150,4.000,0.150,6.000,0.120,19.000,0.050,18.000,0.030,4.000,0.060,4.000,0.060,1.000,225.000,-265.000
