Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,6-2,1,31.8%,1,32.2%,6,13.4%,5,13.4%,7,-13.4%,6,-13.9%,5,4.9%,5,4.9%
TB,6-3,2,27.6%,2,27.7%,13,6.1%,12,5.7%,1,-21.6%,2,-21.4%,16,-0.2%,14,0.5%
KC,8-1,3,25.6%,3,27.2%,1,24.9%,1,25.9%,13,-1.7%,13,-2.2%,21,-1.0%,21,-1.0%
PIT,8-0,4,25.2%,4,26.1%,15,2.0%,14,2.2%,2,-21.5%,1,-21.8%,11,1.7%,10,2.1%
BAL,6-2,5,24.5%,6,21.5%,23,-3.3%,23,-5.5%,5,-17.0%,5,-16.0%,1,10.8%,2,11.0%
IND,5-3,6,21.6%,5,23.5%,22,-3.0%,21,-2.1%,3,-20.1%,3,-20.8%,6,4.5%,6,4.9%
GB,6-2,7,19.8%,7,18.8%,2,24.6%,2,23.1%,21,5.9%,21,5.3%,13,1.0%,13,0.9%
SEA,6-2,8,16.3%,9,16.3%,4,18.1%,4,17.4%,24,6.8%,22,5.9%,4,5.1%,7,4.7%
LAR,5-3,9,12.4%,10,13.6%,5,13.5%,6,12.5%,8,-6.1%,8,-8.3%,31,-7.3%,31,-7.2%
MIA,5-3,10,12.3%,8,18.1%,18,0.0%,15,1.8%,14,-1.6%,9,-4.9%,2,10.7%,1,11.4%
ARI,5-3,11,9.9%,11,11.4%,9,8.4%,9,9.5%,10,-3.0%,11,-3.4%,23,-1.6%,23,-1.6%
TEN,6-2,12,8.9%,12,10.8%,3,20.2%,3,21.5%,18,4.3%,17,4.0%,30,-7.0%,30,-6.7%
BUF,7-2,13,6.9%,13,6.5%,10,8.4%,11,7.5%,17,4.3%,19,4.1%,8,2.8%,9,3.1%
MIN,3-5,14,5.7%,14,5.9%,7,9.9%,7,10.3%,15,-0.9%,14,-1.2%,28,-5.1%,29,-5.6%
SF,4-5,15,4.6%,15,4.3%,16,1.8%,16,1.8%,12,-1.8%,15,-1.1%,12,1.1%,12,1.4%
CAR,3-6,16,0.9%,16,1.7%,8,9.6%,8,9.8%,26,8.1%,26,7.6%,18,-0.6%,17,-0.5%
CHI,5-4,17,-2.7%,17,-1.5%,28,-18.7%,27,-19.1%,4,-17.1%,4,-18.5%,22,-1.1%,19,-0.8%
HOU,2-6,18,-6.5%,20,-7.5%,14,2.5%,17,1.8%,27,9.0%,27,9.3%,14,0.0%,15,0.0%
LAC,2-6,19,-6.9%,19,-7.1%,11,6.6%,10,8.1%,16,2.9%,18,4.0%,32,-10.6%,32,-11.2%
ATL,3-6,20,-7.5%,18,-6.4%,20,-0.8%,19,-1.0%,20,5.8%,20,4.5%,19,-0.9%,20,-0.8%
DET,3-5,21,-7.8%,21,-7.9%,19,-0.2%,20,-1.2%,25,7.5%,23,6.2%,15,-0.1%,18,-0.5%
LV,5-3,22,-8.4%,23,-9.2%,12,6.3%,13,5.2%,30,14.3%,30,14.2%,17,-0.4%,16,-0.3%
CLE,5-3,23,-10.5%,22,-8.2%,17,0.2%,18,1.1%,19,5.0%,16,3.9%,29,-5.7%,28,-5.3%
WAS,2-6,24,-12.1%,24,-12.9%,31,-24.4%,31,-23.8%,6,-14.6%,7,-13.3%,24,-2.4%,24,-2.3%
NYG,2-7,25,-16.7%,25,-16.2%,26,-16.1%,26,-15.2%,22,6.1%,24,6.7%,3,5.5%,3,5.8%
NE,3-5,26,-19.7%,30,-24.1%,24,-8.5%,24,-12.0%,31,15.2%,31,17.3%,7,4.0%,4,5.2%
DAL,2-7,27,-20.3%,28,-23.1%,27,-16.6%,28,-19.5%,23,6.4%,25,6.9%,9,2.7%,8,3.4%
PHI,3-4-1,28,-20.5%,26,-18.7%,30,-22.1%,29,-20.7%,11,-2.6%,12,-3.2%,20,-1.0%,22,-1.3%
DEN,3-5,29,-21.8%,27,-22.2%,29,-22.1%,30,-22.4%,9,-3.8%,10,-3.5%,26,-3.5%,26,-3.4%
JAX,1-7,30,-22.2%,31,-26.5%,21,-1.3%,22,-4.7%,32,18.4%,32,19.2%,25,-2.6%,25,-2.6%
CIN,2-5-1,31,-23.1%,29,-23.3%,25,-14.1%,25,-13.3%,29,11.1%,29,12.1%,10,2.1%,11,2.1%
NYJ,0-9,32,-38.1%,32,-40.1%,32,-24.7%,32,-25.1%,28,9.7%,28,11.5%,27,-3.7%,27,-3.6%

