Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,0.000,1.000,0.340,1.000,0.380,8.000,0.100,7.000,0.110,2.000,-0.210,2.000,-0.250,7.000,0.030,8.000,0.030,PHI,1.000,26.000,-0.180,25.000,-0.160,29.000,-0.180,29.000,-0.180,15.000,0.000,15.000,-0.010,14.000,0.010,16.000,0.010,0.000,-360.000,300.000
PIT,0.000,2.000,0.260,3.000,0.270,17.000,0.000,17.000,-0.010,1.000,-0.250,1.000,-0.270,12.000,0.020,14.000,0.010,BUF,1.000,9.000,0.130,7.000,0.170,7.000,0.110,4.000,0.110,16.000,0.020,16.000,-0.010,5.000,0.040,5.000,0.050,0.000,110.000,-130.000
TB,1.000,3.000,0.260,4.000,0.230,6.000,0.120,6.000,0.110,3.000,-0.160,5.000,-0.140,24.000,-0.010,24.000,-0.010,MIN,0.000,15.000,-0.010,17.000,-0.020,13.000,0.020,12.000,0.020,9.000,-0.050,10.000,-0.060,31.000,-0.090,31.000,-0.100,1.000,-330.000,270.000
KC,1.000,4.000,0.260,2.000,0.280,1.000,0.310,1.000,0.330,18.000,0.040,20.000,0.050,20.000,-0.010,18.000,0.000,MIA,0.000,10.000,0.130,9.000,0.150,19.000,0.000,18.000,-0.010,11.000,-0.040,9.000,-0.070,1.000,0.090,1.000,0.100,0.000,-340.000,280.000
GB,1.000,5.000,0.200,6.000,0.200,2.000,0.280,2.000,0.290,20.000,0.060,19.000,0.040,26.000,-0.030,28.000,-0.040,DET,0.000,25.000,-0.130,26.000,-0.160,15.000,0.010,15.000,0.000,32.000,0.140,32.000,0.150,19.000,0.000,20.000,-0.010,0.000,-420.000,350.000
LAR,1.000,6.000,0.190,5.000,0.200,4.000,0.130,5.000,0.110,5.000,-0.130,3.000,-0.170,30.000,-0.070,30.000,-0.080,NE,0.000,21.000,-0.050,21.000,-0.050,23.000,-0.050,22.000,-0.060,23.000,0.080,25.000,0.090,3.000,0.080,2.000,0.100,1.000,-220.000,190.000
IND,1.000,7.000,0.160,8.000,0.160,16.000,0.010,13.000,0.020,6.000,-0.130,6.000,-0.120,8.000,0.030,11.000,0.020,LV,0.000,18.000,-0.040,22.000,-0.050,14.000,0.020,19.000,-0.020,24.000,0.080,22.000,0.060,11.000,0.020,10.000,0.030,0.000,-145.000,125.000
BAL,1.000,8.000,0.150,11.000,0.090,21.000,-0.040,21.000,-0.050,7.000,-0.100,8.000,-0.070,2.000,0.080,3.000,0.070,CLE,0.000,23.000,-0.070,18.000,-0.030,12.000,0.020,11.000,0.040,19.000,0.060,18.000,0.040,27.000,-0.040,25.000,-0.030,0.000,-175.000,155.000
BUF,1.000,9.000,0.130,7.000,0.170,7.000,0.110,4.000,0.110,16.000,0.020,16.000,-0.010,5.000,0.040,5.000,0.050,PIT,0.000,2.000,0.260,3.000,0.270,17.000,0.000,17.000,-0.010,1.000,-0.250,1.000,-0.270,12.000,0.020,14.000,0.010,1.000,-130.000,110.000
MIA,0.000,10.000,0.130,9.000,0.150,19.000,0.000,18.000,-0.010,11.000,-0.040,9.000,-0.070,1.000,0.090,1.000,0.100,KC,1.000,4.000,0.260,2.000,0.280,1.000,0.310,1.000,0.330,18.000,0.040,20.000,0.050,20.000,-0.010,18.000,0.000,1.000,280.000,-340.000
