Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,10-2,1,34.3%,1,38.2%,8,10.3%,7,10.5%,2,-20.8%,2,-25.0%,7,3.1%,8,2.8%
PIT,11-1,2,26.4%,3,27.1%,17,0.0%,17,-1.3%,1,-24.8%,1,-27.0%,12,1.5%,14,1.4%
TB,7-5,3,26.1%,4,23.0%,6,11.5%,6,10.6%,3,-16.0%,5,-13.7%,24,-1.4%,24,-1.3%
KC,11-1,4,25.7%,2,28.2%,1,30.9%,1,33.0%,18,4.3%,20,4.9%,20,-0.9%,18,0.1%
GB,9-3,5,19.5%,6,20.3%,2,28.3%,2,28.5%,20,5.9%,19,4.1%,26,-3.0%,28,-4.1%
LAR,8-4,6,18.6%,5,20.4%,4,12.8%,5,11.1%,5,-13.2%,3,-17.2%,30,-7.4%,30,-7.9%
IND,8-4,7,16.0%,8,15.8%,16,0.5%,13,1.5%,6,-12.5%,6,-12.1%,8,2.9%,11,2.2%
BAL,7-5,8,14.5%,11,8.5%,21,-3.5%,21,-5.4%,7,-9.8%,8,-6.7%,2,8.1%,3,7.2%
BUF,9-3,9,12.7%,7,16.7%,7,11.0%,4,11.3%,16,1.8%,16,-0.8%,5,3.5%,5,4.6%
MIA,8-4,10,12.5%,9,15.1%,19,-0.4%,18,-1.4%,11,-3.8%,9,-6.5%,1,9.1%,1,10.0%
SEA,8-4,11,11.6%,10,9.0%,5,12.1%,8,8.4%,22,7.3%,21,6.3%,4,6.8%,4,7.0%
TEN,8-4,12,5.2%,12,4.6%,3,21.5%,3,21.3%,28,10.3%,27,10.8%,29,-6.0%,29,-6.0%
ARI,6-6,13,3.0%,13,2.1%,11,2.4%,14,1.4%,12,-3.2%,13,-4.0%,25,-2.7%,26,-3.3%
SF,5-7,14,2.1%,14,0.8%,20,-1.1%,20,-3.3%,13,-3.1%,11,-4.1%,18,0.0%,19,0.0%
MIN,6-6,15,-1.2%,17,-2.4%,13,2.3%,12,1.6%,9,-5.0%,10,-6.3%,31,-8.5%,31,-10.3%
CAR,4-8,16,-1.8%,16,-1.3%,10,5.3%,10,4.2%,25,7.9%,23,7.0%,15,0.8%,15,1.4%
WAS,5-7,17,-3.5%,15,0.0%,28,-17.7%,27,-15.4%,4,-14.0%,4,-14.3%,17,0.2%,17,1.0%
LV,7-5,18,-4.1%,22,-5.4%,14,2.3%,19,-1.6%,24,7.9%,22,6.4%,11,1.6%,10,2.5%
CHI,5-7,19,-4.3%,20,-4.4%,27,-15.0%,28,-15.7%,8,-8.9%,7,-8.2%,10,1.8%,7,3.1%
HOU,4-8,20,-4.7%,23,-5.9%,9,5.3%,9,4.4%,27,9.0%,26,9.2%,21,-1.0%,22,-1.1%
NE,6-6,21,-5.1%,21,-4.8%,23,-5.3%,22,-6.0%,23,7.9%,25,8.7%,3,8.0%,2,9.9%
ATL,4-8,22,-5.6%,19,-3.5%,22,-5.1%,23,-6.4%,14,-0.8%,12,-4.1%,22,-1.3%,23,-1.2%
CLE,9-3,23,-6.8%,18,-3.0%,12,2.4%,11,3.5%,19,5.5%,18,3.9%,27,-3.8%,25,-2.6%
NYG,5-7,24,-12.0%,24,-8.6%,26,-12.6%,24,-10.3%,17,2.3%,17,0.9%,9,2.9%,9,2.6%
DET,5-7,25,-12.7%,26,-15.8%,15,1.2%,15,0.0%,32,13.5%,32,14.8%,19,-0.4%,20,-1.0%
PHI,3-8-1,26,-17.6%,25,-15.6%,29,-18.3%,29,-18.3%,15,0.2%,15,-1.3%,14,0.9%,16,1.4%
DAL,3-9,27,-20.0%,28,-22.6%,25,-10.1%,26,-12.8%,30,11.1%,31,11.9%,13,1.1%,12,2.1%
JAX,1-11,28,-20.3%,27,-19.7%,24,-8.1%,25,-10.8%,31,12.7%,29,10.9%,16,0.5%,13,2.1%
DEN,4-8,29,-22.0%,29,-23.1%,32,-25.1%,32,-26.0%,10,-4.5%,14,-3.8%,23,-1.4%,21,-1.0%
LAC,3-9,30,-23.4%,31,-28.9%,18,0.0%,16,-1.0%,26,8.1%,28,10.9%,32,-15.3%,32,-17.1%
CIN,2-9-1,31,-27.6%,30,-27.1%,30,-20.0%,30,-19.6%,29,11.0%,30,11.7%,6,3.5%,6,4.1%
NYJ,0-12,32,-33.8%,32,-32.9%,31,-22.5%,31,-21.8%,21,7.0%,24,7.2%,28,-4.3%,27,-3.9%

