Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
CAR,3-0,1,40.1%,1,40.1%,12,6.6%,12,6.6%,1,-38.8%,1,-38.8%,31,-5.3%,31,-5.3%
CLE,2-1,2,38.8%,2,38.8%,4,26.3%,4,26.3%,10,-7.7%,10,-7.7%,6,4.9%,6,4.9%
LAR,3-0,3,37.8%,3,37.8%,1,37.0%,1,37.0%,13,-4.7%,13,-4.7%,29,-3.9%,29,-3.9%
ARI,3-0,4,37.5%,4,37.5%,8,14.8%,8,14.8%,6,-17.8%,6,-17.8%,5,4.9%,5,4.9%
DEN,3-0,5,34.1%,5,34.1%,7,15.5%,7,15.5%,5,-21.7%,5,-21.7%,26,-3.1%,26,-3.1%
BUF,2-1,6,29.8%,6,29.8%,16,-0.1%,16,-0.1%,2,-31.1%,2,-31.1%,19,-1.3%,19,-1.3%
TB,2-1,7,24.2%,7,24.2%,5,23.8%,5,23.8%,17,0.8%,17,0.8%,10,1.2%,10,1.2%
NO,2-1,8,22.7%,8,22.7%,19,-3.8%,19,-3.8%,3,-25.3%,3,-25.3%,9,1.2%,9,1.2%
DAL,2-1,9,21.6%,9,21.6%,6,23.1%,6,23.1%,15,-0.5%,15,-0.5%,23,-2.0%,23,-2.0%
SEA,1-2,10,19.2%,10,19.2%,2,32.8%,2,32.8%,24,11.4%,24,11.4%,24,-2.2%,24,-2.2%
CIN,2-1,11,18.3%,11,18.3%,25,-10.9%,25,-10.9%,4,-22.7%,4,-22.7%,2,6.6%,2,6.6%
SF,2-1,12,12.3%,12,12.3%,10,11.3%,10,11.3%,19,4.1%,19,4.1%,4,5.1%,4,5.1%
BAL,2-1,13,8.6%,13,8.6%,13,4.5%,13,4.5%,20,5.0%,20,5.0%,1,9.2%,1,9.2%
LV,3-0,14,5.5%,14,5.5%,17,-2.4%,17,-2.4%,11,-7.4%,11,-7.4%,13,0.6%,13,0.6%
KC,1-2,15,5.3%,15,5.3%,3,30.1%,3,30.1%,32,28.9%,32,28.9%,8,4.1%,8,4.1%
MIN,1-2,16,1.9%,16,1.9%,9,14.5%,9,14.5%,25,13.3%,25,13.3%,11,0.8%,11,0.8%
PHI,1-2,17,-2.4%,17,-2.4%,18,-3.5%,18,-3.5%,14,-2.2%,14,-2.2%,17,-1.1%,17,-1.1%
NYG,0-3,18,-3.7%,18,-3.7%,14,2.3%,14,2.3%,23,10.2%,23,10.2%,7,4.2%,7,4.2%
HOU,1-2,19,-3.8%,19,-3.8%,21,-5.2%,21,-5.2%,12,-4.9%,12,-4.9%,28,-3.5%,28,-3.5%
GB,2-1,20,-5.2%,20,-5.2%,11,8.7%,11,8.7%,26,13.4%,26,13.4%,16,-0.5%,16,-0.5%
NE,1-2,21,-7.6%,21,-7.6%,26,-13.0%,26,-13.0%,8,-8.3%,8,-8.3%,25,-2.9%,25,-2.9%
LAC,2-1,22,-12.7%,22,-12.7%,15,2.3%,15,2.3%,22,7.4%,22,7.4%,32,-7.7%,32,-7.7%
WAS,1-2,23,-14.3%,23,-14.3%,20,-4.3%,20,-4.3%,29,15.6%,29,15.6%,3,5.6%,3,5.6%
PIT,1-2,24,-15.2%,24,-15.2%,24,-9.8%,24,-9.8%,18,0.8%,18,0.8%,30,-4.6%,30,-4.6%
MIA,1-2,25,-20.3%,25,-20.3%,28,-27.1%,28,-27.1%,7,-8.3%,7,-8.3%,22,-1.6%,22,-1.6%
IND,0-3,26,-21.7%,26,-21.7%,27,-15.6%,27,-15.6%,21,6.8%,21,6.8%,12,0.7%,12,0.7%
TEN,2-1,27,-27.2%,27,-27.2%,23,-8.4%,23,-8.4%,28,15.5%,28,15.5%,27,-3.4%,27,-3.4%
CHI,1-2,28,-30.9%,28,-30.9%,31,-37.3%,31,-37.3%,9,-7.8%,9,-7.8%,21,-1.4%,21,-1.4%
DET,0-3,29,-32.3%,29,-32.3%,22,-8.2%,22,-8.2%,31,22.8%,31,22.8%,18,-1.2%,18,-1.2%
NYJ,0-3,30,-36.8%,30,-36.8%,30,-36.0%,30,-36.0%,16,0.5%,16,0.5%,14,-0.2%,14,-0.2%
JAX,0-3,31,-45.1%,31,-45.1%,29,-29.9%,29,-29.9%,27,14.9%,27,14.9%,15,-0.4%,15,-0.4%
ATL,1-2,32,-54.9%,32,-54.9%,32,-37.6%,32,-37.6%,30,15.9%,30,15.9%,20,-1.4%,20,-1.4%

