Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,11-4,1,32.3%,1,33.8%,7,11.9%,6,11.0%,3,-17.0%,3,-19.7%,6,3.5%,7,3.1%
TB,10-5,2,29.0%,2,29.6%,4,16.0%,4,18.5%,4,-16.2%,5,-14.6%,26,-3.2%,27,-3.6%
GB,12-3,3,24.1%,4,27.6%,1,26.9%,1,27.2%,15,0.4%,13,-4.0%,25,-2.5%,28,-3.6%
KC,14-1,4,22.7%,5,25.2%,2,24.9%,2,26.0%,19,2.6%,19,2.6%,17,0.4%,15,1.8%
BUF,12-3,5,20.7%,3,27.7%,5,15.6%,5,17.1%,13,-1.0%,12,-4.9%,5,4.0%,4,5.7%
SEA,11-4,6,20.0%,6,19.7%,6,14.0%,7,8.9%,16,1.3%,14,-2.8%,3,7.3%,2,8.0%
PIT,12-3,7,18.4%,8,17.0%,22,-4.8%,21,-6.9%,1,-22.0%,1,-22.8%,14,1.1%,17,1.2%
LAR,9-6,8,17.1%,7,18.4%,8,7.9%,12,2.8%,5,-15.8%,2,-21.7%,30,-6.6%,30,-6.1%
BAL,10-5,9,16.0%,11,10.3%,12,3.2%,11,4.0%,9,-5.0%,15,0.5%,2,7.8%,3,6.8%
IND,10-5,10,14.6%,9,15.4%,14,2.2%,10,5.5%,8,-9.3%,10,-7.1%,7,3.1%,9,2.8%
MIA,10-5,11,9.9%,10,12.8%,16,0.7%,14,0.0%,11,-4.5%,7,-9.7%,4,4.7%,8,3.1%
SF,6-9,12,5.5%,13,4.8%,18,-2.1%,19,-5.6%,6,-9.8%,6,-13.5%,24,-2.2%,26,-3.1%
TEN,10-5,13,3.5%,12,5.0%,3,19.0%,3,19.9%,29,11.1%,29,12.3%,28,-4.4%,25,-2.6%
ARI,8-7,14,2.2%,17,0.4%,20,-2.2%,22,-7.0%,10,-4.5%,11,-6.7%,19,-0.1%,18,0.7%
CHI,8-7,15,-0.1%,14,2.8%,25,-11.8%,24,-9.7%,7,-9.4%,9,-8.1%,10,2.3%,6,4.4%
WAS,6-9,16,-1.8%,15,2.4%,30,-20.4%,29,-18.6%,2,-17.8%,4,-18.5%,16,0.7%,12,2.5%
ATL,4-11,17,-2.1%,16,2.1%,21,-3.9%,20,-6.1%,12,-3.0%,8,-9.3%,21,-1.2%,21,-1.1%
CAR,5-10,18,-3.2%,19,-4.7%,11,3.8%,15,-0.1%,25,8.0%,24,6.4%,15,1.0%,14,1.8%
MIN,6-9,19,-4.3%,22,-9.2%,9,6.8%,9,5.5%,18,2.0%,21,3.7%,31,-9.0%,31,-10.9%
LV,7-8,20,-6.2%,21,-8.1%,15,1.7%,16,-3.2%,28,9.0%,27,7.2%,13,1.1%,13,2.3%
CLE,10-5,21,-7.5%,18,-3.2%,10,3.9%,8,6.0%,24,7.5%,26,6.9%,27,-3.9%,23,-2.3%
DAL,6-9,22,-8.8%,20,-7.6%,23,-6.8%,23,-8.8%,21,5.0%,20,3.4%,8,3.1%,5,4.7%
NE,6-9,23,-9.8%,23,-11.0%,24,-9.6%,26,-15.2%,26,8.1%,25,6.9%,1,7.9%,1,11.1%
HOU,4-11,24,-13.8%,25,-17.1%,13,2.6%,13,2.1%,30,15.3%,31,17.8%,20,-1.2%,22,-1.3%
NYG,5-10,25,-17.0%,24,-17.0%,26,-12.6%,25,-12.3%,23,5.9%,22,4.6%,12,1.5%,19,-0.1%
DET,5-10,26,-18.1%,30,-24.4%,18,-2.1%,18,-5.3%,32,18.1%,32,21.9%,11,2.1%,11,2.8%
LAC,6-9,27,-18.4%,28,-23.2%,17,-0.8%,17,-3.5%,22,5.2%,23,6.3%,32,-12.4%,32,-13.4%
PHI,4-10-1,28,-20.0%,26,-19.5%,29,-16.5%,28,-15.8%,17,1.6%,16,1.4%,23,-1.8%,24,-2.3%
CIN,4-10-1,29,-22.8%,27,-20.2%,28,-16.4%,27,-15.4%,27,8.8%,28,7.7%,9,2.3%,10,2.8%
DEN,5-10,30,-22.9%,29,-23.8%,32,-21.2%,32,-21.7%,14,0.1%,17,1.8%,22,-1.6%,20,-0.4%
JAX,1-14,31,-28.5%,32,-32.2%,27,-13.2%,30,-19.4%,31,15.5%,30,14.2%,18,0.1%,16,1.5%
NYJ,2-13,32,-29.3%,31,-28.3%,31,-20.8%,31,-20.2%,20,3.2%,18,2.6%,29,-5.3%,29,-5.6%

