Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,10-3,1,28.6%,1,30.5%,8,8.7%,8,7.7%,2,-17.5%,3,-20.8%,8,2.5%,13,2.0%
TB,8-5,2,27.7%,3,24.8%,5,13.8%,4,14.1%,5,-15.2%,5,-12.0%,24,-1.3%,23,-1.3%
KC,12-1,3,25.0%,2,27.1%,2,27.6%,2,28.6%,18,4.0%,19,4.6%,13,1.4%,9,3.0%
PIT,11-2,4,23.5%,4,23.4%,20,-2.1%,20,-3.6%,1,-24.4%,1,-26.2%,14,1.2%,18,0.8%
LAR,9-4,5,21.1%,5,22.8%,6,12.3%,7,9.2%,3,-16.3%,2,-21.8%,30,-7.5%,30,-8.3%
GB,10-3,6,19.6%,6,20.6%,1,28.6%,1,29.6%,20,5.9%,21,4.7%,26,-3.1%,27,-4.3%
BUF,10-3,7,16.2%,7,20.4%,7,12.1%,5,12.1%,16,-0.3%,13,-3.5%,5,3.8%,5,4.8%
SEA,9-4,8,15.5%,9,14.8%,4,14.8%,6,11.9%,19,5.4%,18,3.3%,4,6.1%,4,6.2%
BAL,8-5,9,15.5%,11,10.9%,18,0.1%,16,-0.3%,8,-7.3%,12,-4.1%,2,8.1%,2,7.1%
IND,9-4,10,15.5%,8,15.1%,16,1.3%,12,2.7%,6,-11.3%,6,-10.3%,7,2.9%,12,2.1%
MIA,8-5,11,11.6%,10,13.8%,17,0.4%,17,-0.8%,11,-4.7%,8,-8.2%,3,6.5%,3,6.4%
ARI,7-6,12,7.2%,12,7.3%,14,1.8%,15,0.3%,9,-6.1%,9,-7.6%,22,-0.7%,22,-0.7%
TEN,9-4,13,6.6%,13,6.8%,3,21.8%,3,22.0%,26,10.0%,28,10.5%,29,-5.2%,29,-4.7%
SF,5-8,14,3.5%,16,0.1%,21,-2.1%,21,-6.5%,10,-5.8%,10,-7.0%,20,-0.2%,21,-0.4%
CHI,6-7,15,-0.7%,15,0.6%,26,-12.9%,25,-12.4%,7,-9.9%,7,-9.1%,9,2.3%,6,3.8%
WAS,6-7,16,-1.6%,14,1.2%,29,-18.8%,29,-17.4%,4,-16.3%,4,-16.4%,15,0.9%,11,2.3%
CAR,4-9,17,-3.5%,17,-3.7%,9,7.4%,9,6.7%,27,10.4%,27,10.1%,21,-0.5%,20,-0.3%
MIN,6-7,18,-3.9%,21,-5.8%,11,3.2%,11,3.0%,12,-2.6%,14,-3.0%,31,-9.8%,31,-11.8%
ATL,4-9,19,-6.8%,20,-5.2%,22,-7.2%,22,-9.2%,14,-1.8%,11,-5.3%,25,-1.5%,25,-1.4%
NE,6-7,20,-7.1%,19,-4.9%,24,-9.7%,24,-11.2%,21,6.1%,20,4.7%,1,8.7%,1,11.0%
CLE,9-4,21,-7.1%,18,-3.9%,10,4.8%,10,5.8%,23,7.7%,22,6.4%,27,-4.2%,26,-3.3%
LV,7-6,22,-7.5%,22,-8.8%,15,1.5%,18,-2.2%,28,10.5%,25,9.0%,12,1.5%,10,2.4%
HOU,4-9,23,-10.6%,25,-12.7%,12,2.6%,13,1.3%,30,12.1%,31,12.7%,23,-1.1%,24,-1.3%
DET,5-8,24,-11.9%,26,-15.4%,13,1.9%,14,0.6%,31,14.1%,32,15.9%,17,0.3%,19,-0.1%
PHI,4-8-1,25,-13.0%,23,-9.7%,27,-13.8%,27,-13.3%,15,-0.4%,15,-2.6%,16,0.4%,16,1.0%
NYG,5-8,26,-13.6%,24,-10.8%,28,-14.1%,26,-13.1%,17,1.2%,16,-1.5%,11,1.7%,17,0.9%
DAL,4-9,27,-15.6%,27,-15.9%,23,-9.3%,23,-11.1%,25,8.4%,23,8.0%,10,2.1%,8,3.2%
DEN,5-8,28,-19.8%,28,-19.4%,31,-21.8%,30,-21.7%,13,-2.1%,17,-0.9%,18,-0.1%,15,1.4%
LAC,4-9,29,-21.9%,30,-26.9%,19,-1.1%,19,-2.6%,22,7.3%,26,9.7%,32,-13.5%,32,-14.5%
JAX,1-12,30,-24.2%,29,-23.9%,25,-9.9%,28,-13.3%,32,14.2%,30,12.0%,19,-0.1%,14,1.5%
CIN,2-10-1,31,-29.2%,31,-29.8%,30,-21.5%,31,-22.2%,29,10.6%,29,11.0%,6,2.9%,7,3.4%
NYJ,0-13,32,-37.6%,32,-37.8%,32,-24.7%,32,-24.5%,24,8.0%,24,8.7%,28,-4.9%,28,-4.6%

