Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.000,1.000,0.390,1.000,0.420,5.000,0.150,5.000,0.150,3.000,-0.200,2.000,-0.220,5.000,0.040,5.000,0.040,DEN,0.000,29.000,-0.230,29.000,-0.240,32.000,-0.260,32.000,-0.270,9.000,-0.050,9.000,-0.050,25.000,-0.030,25.000,-0.020,0.000,-1600.000,900.000
TB,0.000,2.000,0.300,3.000,0.290,8.000,0.100,10.000,0.090,2.000,-0.220,3.000,-0.210,21.000,-0.010,21.000,-0.010,KC,1.000,4.000,0.240,4.000,0.250,1.000,0.260,1.000,0.270,14.000,0.000,16.000,0.010,23.000,-0.020,19.000,0.000,1.000,150.000,-170.000
PIT,1.000,3.000,0.270,2.000,0.290,17.000,0.000,16.000,0.000,1.000,-0.250,1.000,-0.260,8.000,0.030,10.000,0.030,BAL,0.000,8.000,0.150,9.000,0.130,23.000,-0.060,23.000,-0.080,7.000,-0.120,8.000,-0.110,2.000,0.100,2.000,0.090,1.000,-500.000,400.000
KC,1.000,4.000,0.240,4.000,0.250,1.000,0.260,1.000,0.270,14.000,0.000,16.000,0.010,23.000,-0.020,19.000,0.000,TB,0.000,2.000,0.300,3.000,0.290,8.000,0.100,10.000,0.090,2.000,-0.220,3.000,-0.210,21.000,-0.010,21.000,-0.010,0.000,-170.000,150.000
IND,0.000,5.000,0.190,5.000,0.200,16.000,0.000,15.000,0.010,5.000,-0.150,5.000,-0.150,6.000,0.040,6.000,0.040,TEN,1.000,13.000,0.030,14.000,0.040,3.000,0.200,2.000,0.220,26.000,0.090,26.000,0.090,30.000,-0.090,30.000,-0.090,1.000,-145.000,125.000
SEA,1.000,6.000,0.170,6.000,0.170,4.000,0.170,4.000,0.160,23.000,0.070,20.000,0.060,3.000,0.070,4.000,0.070,PHI,0.000,28.000,-0.210,27.000,-0.190,30.000,-0.210,29.000,-0.190,13.000,-0.010,13.000,-0.020,20.000,-0.010,24.000,-0.020,0.000,-300.000,250.000
LAR,0.000,7.000,0.160,7.000,0.170,6.000,0.140,6.000,0.120,8.000,-0.090,7.000,-0.120,29.000,-0.070,29.000,-0.070,SF,1.000,15.000,0.030,18.000,0.010,18.000,0.000,18.000,-0.010,10.000,-0.030,11.000,-0.030,18.000,0.000,18.000,0.000,1.000,-240.000,200.000
BAL,0.000,8.000,0.150,9.000,0.130,23.000,-0.060,23.000,-0.080,7.000,-0.120,8.000,-0.110,2.000,0.100,2.000,0.090,PIT,1.000,3.000,0.270,2.000,0.290,17.000,0.000,16.000,0.000,1.000,-0.250,1.000,-0.260,8.000,0.030,10.000,0.030,0.000,400.000,-500.000
GB,1.000,9.000,0.150,8.000,0.130,2.000,0.220,3.000,0.200,18.000,0.040,18.000,0.030,26.000,-0.030,26.000,-0.040,CHI,0.000,18.000,-0.010,17.000,0.010,29.000,-0.210,30.000,-0.220,4.000,-0.190,4.000,-0.200,12.000,0.020,9.000,0.030,1.000,-380.000,320.000
MIA,1.000,10.000,0.080,10.000,0.120,20.000,-0.020,19.000,-0.020,15.000,0.010,14.000,-0.020,1.000,0.100,1.000,0.110,NYJ,0.000,32.000,-0.370,32.000,-0.380,31.000,-0.230,31.000,-0.230,27.000,0.100,27.000,0.110,27.000,-0.040,27.000,-0.040,0.000,-370.000,310.000
ARI,0.000,11.000,0.080,11.000,0.090,11.000,0.070,11.000,0.080,12.000,-0.020,12.000,-0.030,22.000,-0.010,22.000,-0.020,NE,1.000,26.000,-0.140,26.000,-0.170,19.000,-0.010,20.000,-0.020,32.000,0.160,32.000,0.190,7.000,0.030,7.000,0.040,0.000,-120.000,100.000
BUF,1.000,12.000,0.060,12.000,0.050,12.000,0.070,13.000,0.050,17.000,0.040,17.000,0.020,10.000,0.020,13.000,0.030,LAC,0.000,24.000,-0.110,25.000,-0.130,10.000,0.080,9.000,0.090,20.000,0.070,25.000,0.080,32.000,-0.130,32.000,-0.140,1.000,-210.000,180.000
