Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,6-2,1,39.3%,1,41.0%,6,13.1%,6,13.8%,1,-25.4%,1,-25.7%,13,0.8%,12,1.5%
PIT,7-0,2,30.2%,2,31.1%,14,3.8%,13,4.0%,2,-21.8%,2,-21.9%,7,4.6%,5,5.2%
BAL,5-2,3,27.8%,4,25.7%,20,-1.0%,21,-2.4%,5,-16.5%,4,-15.8%,1,12.3%,1,12.3%
KC,7-1,4,26.6%,3,27.7%,1,24.6%,1,24.9%,13,-3.5%,12,-4.1%,23,-1.6%,21,-1.3%
IND,5-2,5,23.6%,5,25.6%,22,-1.4%,20,-0.7%,3,-19.6%,3,-20.5%,4,5.3%,4,5.7%
SEA,6-1,6,22.8%,6,23.1%,3,22.7%,3,22.5%,21,5.9%,20,5.3%,3,6.1%,3,6.0%
NO,5-2,7,20.4%,7,19.5%,7,9.3%,7,9.1%,8,-6.5%,10,-5.8%,5,4.7%,7,4.6%
GB,5-2,8,14.8%,10,14.7%,2,22.9%,4,22.2%,29,9.8%,26,9.2%,10,1.7%,10,1.6%
MIA,4-3,9,14.1%,8,17.7%,21,-1.0%,19,-0.1%,11,-4.7%,9,-6.8%,2,10.5%,2,11.0%
LAR,5-3,10,13.5%,9,15.0%,5,14.3%,5,14.2%,9,-6.4%,7,-8.0%,30,-7.3%,30,-7.1%
ARI,5-2,11,13.2%,11,14.1%,10,7.3%,9,7.9%,10,-5.4%,11,-5.5%,15,0.5%,15,0.7%
SF,4-4,12,12.3%,12,11.8%,9,7.7%,11,7.5%,12,-3.7%,13,-3.3%,14,0.8%,14,1.1%
TEN,5-2,13,8.3%,13,9.6%,4,21.8%,2,23.0%,20,5.9%,21,6.2%,31,-7.7%,31,-7.2%
BUF,6-2,14,2.1%,14,2.1%,8,8.0%,10,7.8%,23,7.3%,23,7.2%,11,1.4%,11,1.5%
MIN,2-5,15,-1.2%,16,-1.7%,16,3.1%,15,2.6%,16,2.9%,16,2.8%,22,-1.5%,23,-1.6%
CAR,3-5,16,-1.4%,15,-1.0%,12,6.7%,12,6.7%,25,8.2%,24,7.8%,17,0.1%,17,0.0%
DET,3-4,17,-2.2%,17,-2.2%,18,0.8%,18,0.3%,17,4.4%,17,3.7%,12,1.3%,13,1.2%
CHI,5-3,18,-3.7%,18,-3.5%,27,-17.0%,27,-17.6%,6,-14.8%,6,-15.5%,21,-1.5%,22,-1.4%
LAC,2-5,19,-4.1%,19,-4.0%,11,7.1%,8,8.4%,15,1.5%,15,2.4%,32,-9.7%,32,-10.0%
HOU,1-6,20,-7.3%,21,-8.4%,15,3.2%,17,2.5%,28,9.7%,28,10.1%,19,-0.8%,19,-0.8%
WAS,2-5,21,-8.6%,22,-9.0%,31,-22.3%,31,-21.4%,4,-17.0%,5,-15.8%,25,-3.3%,25,-3.4%
CLE,5-3,22,-9.9%,20,-7.5%,17,1.0%,16,2.5%,19,5.2%,18,4.6%,29,-5.7%,29,-5.4%
ATL,2-6,23,-10.8%,23,-10.5%,23,-3.3%,23,-3.7%,22,6.9%,22,6.3%,18,-0.7%,18,-0.6%
LV,4-3,24,-12.3%,24,-12.9%,13,4.7%,14,3.8%,31,15.1%,31,14.9%,24,-1.9%,24,-1.8%
DEN,3-4,25,-18.7%,27,-18.5%,30,-21.2%,30,-21.1%,7,-6.9%,8,-6.9%,26,-4.4%,26,-4.3%
NE,2-5,26,-18.7%,28,-22.4%,24,-12.5%,25,-15.7%,27,9.3%,29,10.5%,8,3.1%,8,3.8%
NYG,1-7,27,-18.9%,25,-18.0%,28,-18.6%,28,-18.0%,18,4.9%,19,4.8%,6,4.7%,6,4.7%
PHI,3-4-1,28,-19.1%,26,-18.1%,29,-20.5%,29,-19.3%,14,-2.4%,14,-2.3%,20,-1.0%,20,-1.1%
CIN,2-5-1,29,-22.2%,29,-22.7%,25,-13.3%,24,-12.6%,30,11.1%,30,12.4%,9,2.2%,9,2.3%
DAL,2-6,30,-23.5%,30,-25.7%,26,-15.7%,26,-17.3%,24,8.2%,25,9.0%,16,0.3%,16,0.6%
JAX,1-6,31,-25.3%,31,-28.6%,19,-0.7%,22,-2.8%,32,19.9%,32,20.7%,27,-4.7%,28,-5.0%
NYJ,0-8,32,-45.2%,32,-46.1%,32,-31.5%,32,-31.8%,26,8.5%,27,9.4%,28,-5.1%,27,-5.0%

