Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,7-2,1,36.1%,1,37.4%,6,13.5%,5,13.3%,5,-17.3%,5,-18.5%,5,5.4%,5,5.6%
TB,7-3,2,29.9%,2,30.0%,8,9.7%,8,9.3%,1,-22.0%,1,-22.1%,23,-1.8%,22,-1.4%
PIT,9-0,3,25.0%,3,27.0%,16,0.9%,17,0.9%,2,-20.4%,2,-21.8%,8,3.7%,7,4.2%
KC,8-1,4,23.7%,4,25.2%,1,24.3%,1,24.7%,14,-0.6%,14,-1.1%,22,-1.3%,19,-0.6%
IND,6-3,5,23.1%,5,24.0%,18,0.4%,15,1.4%,4,-18.8%,4,-18.7%,6,3.9%,8,3.9%
BAL,6-3,6,17.2%,9,14.4%,24,-5.8%,23,-7.2%,6,-12.8%,6,-11.6%,2,10.2%,2,10.0%
GB,7-2,7,16.0%,10,13.4%,2,21.1%,3,18.6%,16,3.2%,16,2.6%,24,-1.9%,25,-2.6%
SEA,6-3,8,15.7%,7,16.2%,4,16.0%,4,15.5%,23,7.2%,21,6.3%,3,6.9%,4,6.9%
LAR,6-3,9,14.5%,8,15.0%,5,14.4%,6,12.3%,8,-7.4%,7,-9.9%,29,-7.2%,29,-7.3%
MIA,6-3,10,12.1%,6,16.9%,19,-0.2%,18,0.4%,13,-1.6%,11,-4.8%,1,10.7%,1,11.7%
ARI,6-3,11,11.2%,11,13.2%,12,7.3%,11,8.4%,9,-5.1%,9,-6.0%,21,-1.2%,21,-1.2%
BUF,7-3,12,5.2%,12,4.9%,13,6.3%,14,4.9%,17,3.6%,17,2.8%,9,2.5%,10,2.8%
MIN,4-5,13,4.3%,13,4.3%,10,8.1%,10,8.8%,10,-4.6%,10,-4.9%,30,-8.4%,30,-9.4%
LV,6-3,14,2.5%,14,3.3%,9,8.6%,12,7.7%,21,6.6%,19,5.3%,16,0.5%,14,0.9%
SF,4-6,15,2.3%,18,1.7%,21,-0.9%,21,-1.4%,12,-3.4%,13,-3.2%,18,-0.2%,18,-0.1%
TEN,6-3,16,2.2%,15,2.9%,3,20.8%,2,22.3%,24,8.9%,24,8.8%,31,-9.6%,31,-10.6%
CAR,3-7,17,2.0%,16,2.5%,7,9.8%,7,10.0%,27,9.8%,26,10.0%,11,2.0%,13,2.5%
CHI,5-5,18,0.0%,17,1.8%,29,-21.6%,30,-22.0%,3,-19.8%,3,-21.2%,12,1.9%,11,2.6%
DET,4-5,19,-3.0%,19,-3.0%,14,5.8%,13,5.6%,25,9.6%,25,8.9%,15,0.7%,16,0.2%
ATL,3-6,20,-8.6%,20,-6.9%,20,-0.5%,20,-0.5%,22,7.0%,20,5.6%,20,-1.1%,20,-0.8%
CLE,6-3,21,-8.9%,21,-7.8%,17,0.9%,16,1.4%,18,3.6%,18,3.2%,28,-6.1%,28,-5.9%
HOU,2-7,22,-9.1%,22,-10.9%,15,0.9%,19,-0.1%,28,10.0%,28,10.8%,17,0.0%,17,0.0%
LAC,2-7,23,-9.8%,23,-11.7%,11,7.5%,9,9.1%,19,4.9%,22,7.3%,32,-12.4%,32,-13.5%
WAS,2-7,24,-13.9%,24,-13.2%,30,-21.7%,28,-19.9%,7,-10.4%,8,-9.2%,25,-2.5%,25,-2.6%
NE,4-5,25,-14.8%,27,-19.0%,22,-2.0%,22,-5.2%,32,16.6%,32,18.7%,7,3.7%,6,4.9%
NYG,3-7,26,-15.4%,25,-13.6%,25,-12.5%,25,-10.8%,26,9.7%,27,10.0%,4,6.8%,3,7.2%
JAX,1-8,27,-16.4%,26,-18.7%,23,-4.7%,24,-8.0%,31,13.2%,31,13.2%,13,1.5%,12,2.5%
DAL,2-7,28,-21.0%,29,-25.1%,27,-16.9%,29,-20.9%,20,6.4%,23,7.4%,10,2.3%,9,3.2%
PHI,3-5-1,29,-23.0%,28,-21.1%,28,-20.7%,27,-19.3%,15,1.3%,15,0.4%,19,-1.0%,23,-1.5%
CIN,2-6-1,30,-26.0%,30,-26.7%,26,-15.6%,26,-14.2%,30,11.4%,30,13.2%,14,1.0%,15,0.7%
DEN,3-6,31,-29.6%,31,-30.2%,32,-30.0%,32,-31.1%,11,-3.4%,12,-3.2%,26,-3.0%,24,-2.3%
NYJ,0-9,32,-38.1%,32,-39.8%,31,-23.7%,31,-24.0%,29,10.5%,29,11.9%,27,-4.0%,27,-3.9%

