Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.000,1.000,0.320,1.000,0.340,7.000,0.120,6.000,0.110,3.000,-0.170,3.000,-0.200,6.000,0.040,7.000,0.030,CAR,0.000,18.000,-0.030,19.000,-0.050,11.000,0.040,15.000,0.000,25.000,0.080,24.000,0.060,15.000,0.010,14.000,0.020,0.000,-270.000,230.000
TB,1.000,2.000,0.290,2.000,0.300,4.000,0.160,4.000,0.190,4.000,-0.160,5.000,-0.150,26.000,-0.030,27.000,-0.040,ATL,0.000,17.000,-0.020,16.000,0.020,21.000,-0.040,20.000,-0.060,12.000,-0.030,8.000,-0.090,21.000,-0.010,21.000,-0.010,1.000,-335.000,275.000
GB,1.000,3.000,0.240,4.000,0.280,1.000,0.270,1.000,0.270,15.000,0.000,13.000,-0.040,25.000,-0.030,28.000,-0.040,CHI,0.000,15.000,0.000,14.000,0.030,25.000,-0.120,24.000,-0.100,7.000,-0.090,9.000,-0.080,10.000,0.020,6.000,0.040,0.000,-210.000,180.000
KC,0.000,4.000,0.230,5.000,0.250,2.000,0.250,2.000,0.260,19.000,0.030,19.000,0.030,17.000,0.000,15.000,0.020,LAC,1.000,27.000,-0.180,28.000,-0.230,17.000,-0.010,17.000,-0.040,22.000,0.050,23.000,0.060,32.000,-0.120,32.000,-0.130,0.000,250.000,-300.000
BUF,1.000,5.000,0.210,3.000,0.280,5.000,0.160,5.000,0.170,13.000,-0.010,12.000,-0.050,5.000,0.040,4.000,0.060,MIA,0.000,11.000,0.100,10.000,0.130,16.000,0.010,14.000,0.000,11.000,-0.050,7.000,-0.100,4.000,0.050,8.000,0.030,1.000,145.000,-165.000
SEA,1.000,6.000,0.200,6.000,0.200,6.000,0.140,7.000,0.090,16.000,0.010,14.000,-0.030,3.000,0.070,2.000,0.080,SF,0.000,12.000,0.060,13.000,0.050,18.000,-0.020,19.000,-0.060,6.000,-0.100,6.000,-0.140,24.000,-0.020,26.000,-0.030,0.000,-340.000,280.000
PIT,0.000,7.000,0.180,8.000,0.170,22.000,-0.050,21.000,-0.070,1.000,-0.220,1.000,-0.230,14.000,0.010,17.000,0.010,CLE,1.000,21.000,-0.080,18.000,-0.030,10.000,0.040,8.000,0.060,24.000,0.080,26.000,0.070,27.000,-0.040,23.000,-0.020,0.000,375.000,-450.000
LAR,1.000,8.000,0.170,7.000,0.180,8.000,0.080,12.000,0.030,5.000,-0.160,2.000,-0.220,30.000,-0.070,30.000,-0.060,ARI,0.000,14.000,0.020,17.000,0.000,20.000,-0.020,22.000,-0.070,10.000,-0.050,11.000,-0.070,19.000,0.000,18.000,0.010,1.000,-125.000,105.000
BAL,1.000,9.000,0.160,11.000,0.100,12.000,0.030,11.000,0.040,9.000,-0.050,15.000,0.010,2.000,0.080,3.000,0.070,CIN,0.000,29.000,-0.230,27.000,-0.200,28.000,-0.160,27.000,-0.150,27.000,0.090,28.000,0.080,9.000,0.020,10.000,0.030,0.000,-1000.000,650.000
IND,1.000,10.000,0.150,9.000,0.150,14.000,0.020,10.000,0.060,8.000,-0.090,10.000,-0.070,7.000,0.030,9.000,0.030,JAX,0.000,31.000,-0.290,32.000,-0.320,27.000,-0.130,30.000,-0.190,31.000,0.160,30.000,0.140,18.000,0.000,16.000,0.020,1.000,-1400.000,800.000
MIA,0.000,11.000,0.100,10.000,0.130,16.000,0.010,14.000,0.000,11.000,-0.050,7.000,-0.100,4.000,0.050,8.000,0.030,BUF,1.000,5.000,0.210,3.000,0.280,5.000,0.160,5.000,0.170,13.000,-0.010,12.000,-0.050,5.000,0.040,4.000,0.060,0.000,-165.000,145.000
SF,0.000,12.000,0.060,13.000,0.050,18.000,-0.020,19.000,-0.060,6.000,-0.100,6.000,-0.140,24.000,-0.020,26.000,-0.030,SEA,1.000,6.000,0.200,6.000,0.200,6.000,0.140,7.000,0.090,16.000,0.010,14.000,-0.030,3.000,0.070,2.000,0.080,1.000,280.000,-340.000
TEN,1.000,13.000,0.040,12.000,0.050,3.000,0.190,3.000,0.200,29.000,0.110,29.000,0.120,28.000,-0.040,25.000,-0.030,HOU,0.000,24.000,-0.140,25.000,-0.170,13.000,0.030,13.000,0.020,30.000,0.150,31.000,0.180,20.000,-0.010,22.000,-0.010,0.000,-340.000,280.000
ARI,0.000,14.000,0.020,17.000,0.000,20.000,-0.020,22.000,-0.070,10.000,-0.050,11.000,-0.070,19.000,0.000,18.000,0.010,LAR,1.000,8.000,0.170,7.000,0.180,8.000,0.080,12.000,0.030,5.000,-0.160,2.000,-0.220,30.000,-0.070,30.000,-0.060,0.000,105.000,-125.000
CHI,0.000,15.000,0.000,14.000,0.030,25.000,-0.120,24.000,-0.100,7.000,-0.090,9.000,-0.080,10.000,0.020,6.000,0.040,GB,1.000,3.000,0.240,4.000,0.280,1.000,0.270,1.000,0.270,15.000,0.000,13.000,-0.040,25.000,-0.030,28.000,-0.040,1.000,180.000,-210.000
WAS,1.000,16.000,-0.020,15.000,0.020,30.000,-0.200,29.000,-0.190,2.000,-0.180,4.000,-0.190,16.000,0.010,12.000,0.030,PHI,0.000,28.000,-0.200,26.000,-0.200,29.000,-0.170,28.000,-0.160,17.000,0.020,16.000,0.010,23.000,-0.020,24.000,-0.020,0.000,-300.000,250.000
ATL,0.000,17.000,-0.020,16.000,0.020,21.000,-0.040,20.000,-0.060,12.000,-0.030,8.000,-0.090,21.000,-0.010,21.000,-0.010,TB,1.000,2.000,0.290,2.000,0.300,4.000,0.160,4.000,0.190,4.000,-0.160,5.000,-0.150,26.000,-0.030,27.000,-0.040,0.000,275.000,-335.000
CAR,0.000,18.000,-0.030,19.000,-0.050,11.000,0.040,15.000,0.000,25.000,0.080,24.000,0.060,15.000,0.010,14.000,0.020,NO,1.000,1.000,0.320,1.000,0.340,7.000,0.120,6.000,0.110,3.000,-0.170,3.000,-0.200,6.000,0.040,7.000,0.030,1.000,230.000,-270.000
MIN,1.000,19.000,-0.040,22.000,-0.090,9.000,0.070,9.000,0.060,18.000,0.020,21.000,0.040,31.000,-0.090,31.000,-0.110,DET,0.000,26.000,-0.180,30.000,-0.240,18.000,-0.020,18.000,-0.050,32.000,0.180,32.000,0.220,11.000,0.020,11.000,0.030,0.000,-170.000,150.000
LV,1.000,20.000,-0.060,21.000,-0.080,15.000,0.020,16.000,-0.030,28.000,0.090,27.000,0.070,13.000,0.010,13.000,0.020,DEN,0.000,30.000,-0.230,29.000,-0.240,32.000,-0.210,32.000,-0.220,14.000,0.000,17.000,0.020,22.000,-0.020,20.000,0.000,0.000,-150.000,130.000
CLE,1.000,21.000,-0.080,18.000,-0.030,10.000,0.040,8.000,0.060,24.000,0.080,26.000,0.070,27.000,-0.040,23.000,-0.020,PIT,0.000,7.000,0.180,8.000,0.170,22.000,-0.050,21.000,-0.070,1.000,-0.220,1.000,-0.230,14.000,0.010,17.000,0.010,1.000,-450.000,375.000
DAL,0.000,22.000,-0.090,20.000,-0.080,23.000,-0.070,23.000,-0.090,21.000,0.050,20.000,0.030,8.000,0.030,5.000,0.050,NYG,1.000,25.000,-0.170,24.000,-0.170,26.000,-0.130,25.000,-0.120,23.000,0.060,22.000,0.050,12.000,0.020,19.000,0.000,0.000,-125.000,105.000
NE,1.000,23.000,-0.100,23.000,-0.110,24.000,-0.100,26.000,-0.150,26.000,0.080,25.000,0.070,1.000,0.080,1.000,0.110,NYJ,0.000,32.000,-0.290,31.000,-0.280,31.000,-0.210,31.000,-0.200,20.000,0.030,18.000,0.030,29.000,-0.050,29.000,-0.060,1.000,-170.000,150.000
HOU,0.000,24.000,-0.140,25.000,-0.170,13.000,0.030,13.000,0.020,30.000,0.150,31.000,0.180,20.000,-0.010,22.000,-0.010,TEN,1.000,13.000,0.040,12.000,0.050,3.000,0.190,3.000,0.200,29.000,0.110,29.000,0.120,28.000,-0.040,25.000,-0.030,1.000,280.000,-340.000
NYG,1.000,25.000,-0.170,24.000,-0.170,26.000,-0.130,25.000,-0.120,23.000,0.060,22.000,0.050,12.000,0.020,19.000,0.000,DAL,0.000,22.000,-0.090,20.000,-0.080,23.000,-0.070,23.000,-0.090,21.000,0.050,20.000,0.030,8.000,0.030,5.000,0.050,1.000,105.000,-125.000
DET,0.000,26.000,-0.180,30.000,-0.240,18.000,-0.020,18.000,-0.050,32.000,0.180,32.000,0.220,11.000,0.020,11.000,0.030,MIN,1.000,19.000,-0.040,22.000,-0.090,9.000,0.070,9.000,0.060,18.000,0.020,21.000,0.040,31.000,-0.090,31.000,-0.110,1.000,150.000,-170.000
LAC,1.000,27.000,-0.180,28.000,-0.230,17.000,-0.010,17.000,-0.040,22.000,0.050,23.000,0.060,32.000,-0.120,32.000,-0.130,KC,0.000,4.000,0.230,5.000,0.250,2.000,0.250,2.000,0.260,19.000,0.030,19.000,0.030,17.000,0.000,15.000,0.020,0.000,-300.000,250.000
PHI,0.000,28.000,-0.200,26.000,-0.200,29.000,-0.170,28.000,-0.160,17.000,0.020,16.000,0.010,23.000,-0.020,24.000,-0.020,WAS,1.000,16.000,-0.020,15.000,0.020,30.000,-0.200,29.000,-0.190,2.000,-0.180,4.000,-0.190,16.000,0.010,12.000,0.030,1.000,250.000,-300.000
CIN,0.000,29.000,-0.230,27.000,-0.200,28.000,-0.160,27.000,-0.150,27.000,0.090,28.000,0.080,9.000,0.020,10.000,0.030,BAL,1.000,9.000,0.160,11.000,0.100,12.000,0.030,11.000,0.040,9.000,-0.050,15.000,0.010,2.000,0.080,3.000,0.070,1.000,650.000,-1000.000
DEN,0.000,30.000,-0.230,29.000,-0.240,32.000,-0.210,32.000,-0.220,14.000,0.000,17.000,0.020,22.000,-0.020,20.000,0.000,LV,1.000,20.000,-0.060,21.000,-0.080,15.000,0.020,16.000,-0.030,28.000,0.090,27.000,0.070,13.000,0.010,13.000,0.020,1.000,130.000,-150.000
JAX,0.000,31.000,-0.290,32.000,-0.320,27.000,-0.130,30.000,-0.190,31.000,0.160,30.000,0.140,18.000,0.000,16.000,0.020,IND,1.000,10.000,0.150,9.000,0.150,14.000,0.020,10.000,0.060,8.000,-0.090,10.000,-0.070,7.000,0.030,9.000,0.030,0.000,800.000,-1400.000
NYJ,0.000,32.000,-0.290,31.000,-0.280,31.000,-0.210,31.000,-0.200,20.000,0.030,18.000,0.030,29.000,-0.050,29.000,-0.060,NE,1.000,23.000,-0.100,23.000,-0.110,24.000,-0.100,26.000,-0.150,26.000,0.080,25.000,0.070,1.000,0.080,1.000,0.110,0.000,150.000,-170.000
