Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
IND,2-1,1,35.2%,1,35.2%,18,-0.7%,18,-0.7%,1,-32.3%,1,-32.3%,10,3.6%,10,3.6%
PIT,3-0,2,32.0%,2,32.0%,14,4.4%,14,4.4%,3,-26.9%,3,-26.9%,13,0.8%,13,0.8%
SF,2-1,3,30.1%,3,30.1%,8,11.3%,8,11.3%,5,-18.9%,5,-18.9%,15,-0.1%,15,-0.1%
SEA,3-0,4,26.7%,4,26.7%,3,27.3%,3,27.3%,23,7.3%,23,7.3%,2,6.8%,2,6.8%
TB,2-1,5,25.4%,5,25.4%,16,2.2%,16,2.2%,2,-28.6%,2,-28.6%,27,-5.4%,27,-5.4%
BAL,2-1,6,24.2%,6,24.2%,13,4.9%,13,4.9%,10,-4.8%,10,-4.8%,1,14.5%,1,14.5%
LAR,2-1,7,21.0%,7,21.0%,1,34.6%,1,34.6%,21,5.4%,21,5.4%,31,-8.1%,31,-8.1%
GB,3-0,8,20.4%,8,20.4%,2,27.8%,2,27.8%,28,11.7%,28,11.7%,7,4.4%,7,4.4%
KC,3-0,9,17.2%,9,17.2%,5,25.2%,5,25.2%,13,-0.1%,13,-0.1%,30,-8.1%,30,-8.1%
BUF,3-0,10,16.5%,10,16.5%,6,22.3%,6,22.3%,24,8.8%,24,8.8%,11,3.1%,11,3.1%
NO,1-2,11,14.8%,11,14.8%,10,8.5%,10,8.5%,12,-2.5%,12,-2.5%,8,3.8%,8,3.8%
NE,2-1,12,14.0%,12,14.0%,4,26.9%,4,26.9%,25,9.1%,25,9.1%,25,-3.9%,25,-3.9%
TEN,3-0,13,3.5%,13,3.5%,11,7.4%,11,7.4%,16,2.4%,16,2.4%,18,-1.6%,18,-1.6%
DAL,1-2,14,1.5%,14,1.5%,12,5.5%,12,5.5%,17,2.8%,17,2.8%,17,-1.2%,17,-1.2%
LAC,1-2,15,1.2%,15,1.2%,17,1.8%,17,1.8%,11,-2.5%,11,-2.5%,23,-3.2%,23,-3.2%
ARI,2-1,16,-0.7%,16,-0.7%,24,-8.9%,24,-8.9%,7,-8.5%,7,-8.5%,16,-0.3%,16,-0.3%
CHI,3-0,17,-3.1%,17,-3.1%,26,-14.1%,26,-14.1%,6,-13.6%,6,-13.6%,22,-2.5%,22,-2.5%
JAX,1-2,18,-5.1%,18,-5.1%,7,13.4%,7,13.4%,29,14.4%,29,14.4%,26,-4.1%,26,-4.1%
CLE,2-1,19,-8.5%,19,-8.5%,25,-9.0%,25,-9.0%,8,-5.9%,8,-5.9%,28,-5.5%,28,-5.5%
CIN,0-2-1,20,-8.6%,20,-8.6%,27,-18.8%,27,-18.8%,9,-5.5%,9,-5.5%,6,4.8%,6,4.8%
ATL,0-3,21,-8.7%,21,-8.7%,19,-0.8%,19,-0.8%,20,4.5%,20,4.5%,24,-3.4%,24,-3.4%
DET,1-2,22,-9.7%,22,-9.7%,22,-3.9%,22,-3.9%,27,11.5%,27,11.5%,3,5.7%,3,5.7%
HOU,0-3,23,-10.9%,23,-10.9%,21,-2.7%,21,-2.7%,26,9.4%,26,9.4%,12,1.2%,12,1.2%
MIN,0-3,24,-11.5%,24,-11.5%,23,-5.0%,23,-5.0%,19,4.0%,19,4.0%,21,-2.5%,21,-2.5%
LV,2-1,25,-11.7%,25,-11.7%,9,8.9%,9,8.9%,31,18.4%,31,18.4%,20,-2.2%,20,-2.2%
MIA,1-2,26,-12.3%,26,-12.3%,15,2.3%,15,2.3%,32,20.1%,32,20.1%,4,5.5%,4,5.5%
WAS,1-2,27,-14.0%,27,-14.0%,29,-35.3%,29,-35.3%,4,-23.1%,4,-23.1%,19,-1.8%,19,-1.8%
CAR,1-2,28,-18.0%,28,-18.0%,20,-1.7%,20,-1.7%,30,16.6%,30,16.6%,14,0.3%,14,0.3%
PHI,0-2-1,29,-32.5%,29,-32.5%,28,-34.2%,28,-34.2%,15,1.9%,15,1.9%,9,3.7%,9,3.7%
NYG,0-3,30,-41.2%,30,-41.2%,32,-43.0%,32,-43.0%,18,3.4%,18,3.4%,5,5.2%,5,5.2%
NYJ,0-3,31,-44.2%,31,-44.2%,31,-37.8%,31,-37.8%,14,0.6%,14,0.6%,29,-5.8%,29,-5.8%
DEN,0-3,32,-50.7%,32,-50.7%,30,-35.7%,30,-35.7%,22,6.0%,22,6.0%,32,-9.0%,32,-9.0%

