Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,10-4,1,28.5%,1,30.8%,9,7.3%,9,6.0%,2,-17.6%,2,-21.5%,6,3.6%,8,3.4%
TB,9-5,2,25.5%,4,22.3%,5,14.0%,5,14.0%,5,-12.6%,7,-8.9%,24,-1.1%,22,-0.6%
KC,13-1,3,23.4%,2,24.7%,1,26.4%,1,27.3%,17,2.9%,20,3.8%,17,-0.1%,14,1.2%
GB,11-3,4,20.0%,5,22.1%,2,26.1%,2,26.6%,18,4.0%,17,1.4%,26,-2.1%,26,-3.0%
PIT,11-3,5,19.0%,8,17.0%,22,-6.1%,21,-8.9%,1,-23.5%,1,-24.6%,12,1.6%,13,1.3%
LAR,9-5,6,18.2%,6,20.3%,7,10.4%,8,7.2%,4,-14.7%,3,-20.0%,30,-7.0%,30,-6.9%
BUF,11-3,7,17.9%,3,23.4%,6,13.7%,4,14.7%,14,-0.2%,13,-3.4%,5,4.0%,4,5.3%
IND,10-4,8,17.1%,7,17.3%,12,2.4%,10,4.1%,6,-11.8%,5,-10.7%,7,2.9%,10,2.5%
SEA,10-4,9,16.6%,9,15.4%,4,14.3%,6,10.6%,20,4.2%,18,2.0%,3,6.5%,2,6.7%
BAL,9-5,10,16.4%,12,11.6%,15,1.6%,14,1.3%,8,-7.0%,12,-3.7%,2,7.8%,3,6.6%
MIA,9-5,11,11.9%,10,14.6%,16,1.3%,15,1.3%,11,-5.2%,6,-9.0%,4,5.3%,6,4.3%
TEN,10-4,12,9.0%,11,12.2%,3,23.5%,3,25.3%,28,9.7%,29,9.8%,29,-4.8%,27,-3.2%
ARI,8-6,13,6.8%,13,7.1%,17,1.0%,17,-0.7%,9,-6.2%,8,-8.0%,19,-0.5%,20,-0.3%
SF,5-9,14,0.6%,19,-4.4%,20,-4.4%,22,-9.8%,10,-5.7%,10,-6.0%,20,-0.6%,23,-0.7%
CHI,7-7,15,-0.3%,14,1.5%,26,-11.5%,24,-10.1%,7,-8.7%,9,-7.4%,10,2.5%,7,4.2%
WAS,6-8,16,-3.1%,16,-1.0%,30,-20.1%,29,-19.1%,3,-16.2%,4,-15.6%,14,0.8%,11,2.5%
CAR,4-10,17,-3.5%,18,-3.8%,10,5.0%,12,3.0%,27,8.5%,27,6.8%,16,0.0%,19,0.0%
MIN,6-8,18,-3.7%,21,-6.8%,11,4.8%,11,3.8%,13,-0.9%,15,-0.7%,31,-9.3%,31,-11.2%
CLE,10-4,19,-4.2%,15,0.7%,8,7.7%,7,10.1%,26,7.5%,24,6.1%,27,-4.4%,28,-3.4%
ATL,4-10,20,-4.8%,17,-2.1%,21,-5.0%,20,-6.5%,12,-1.1%,11,-5.0%,21,-1.0%,21,-0.6%
NE,6-8,21,-6.7%,20,-5.1%,24,-9.4%,25,-12.0%,23,6.4%,21,5.1%,1,9.1%,1,12.0%
LV,7-7,22,-8.4%,22,-10.1%,18,0.9%,18,-3.0%,29,10.5%,28,9.4%,13,1.2%,12,2.4%
HOU,4-10,23,-10.9%,25,-12.8%,13,2.3%,13,1.3%,30,12.2%,31,13.0%,23,-1.1%,24,-1.2%
DAL,5-9,24,-12.4%,23,-11.4%,23,-8.7%,23,-10.0%,24,6.6%,23,5.9%,8,2.9%,5,4.4%
DET,5-9,25,-13.5%,27,-18.8%,14,1.8%,16,-0.1%,32,16.0%,32,19.2%,15,0.7%,17,0.5%
PHI,4-9-1,26,-15.7%,24,-12.8%,28,-14.2%,26,-12.4%,15,0.1%,14,-1.2%,25,-1.4%,25,-1.6%
NYG,5-9,27,-16.2%,26,-13.5%,27,-14.0%,27,-13.0%,19,4.1%,16,1.4%,11,1.9%,16,0.8%
LAC,5-9,28,-20.3%,30,-24.8%,19,-0.9%,19,-3.1%,21,5.7%,26,6.6%,32,-13.8%,32,-15.1%
CIN,3-10-1,29,-23.5%,28,-23.1%,29,-19.6%,31,-20.9%,25,6.6%,22,5.5%,9,2.8%,9,3.3%
DEN,5-9,30,-24.4%,29,-24.5%,32,-22.6%,32,-21.9%,16,0.7%,19,2.9%,22,-1.1%,18,0.2%
JAX,1-13,31,-24.6%,31,-26.6%,25,-10.0%,28,-14.7%,31,14.3%,30,12.7%,18,-0.3%,15,0.8%
NYJ,1-13,32,-32.9%,32,-31.2%,31,-22.4%,30,-20.5%,22,5.9%,25,6.4%,28,-4.7%,29,-4.3%

