Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,3-1,1,30.1%,1,30.1%,7,9.0%,7,9.0%,2,-24.1%,2,-24.1%,25,-3.1%,25,-3.1%
KC,4-0,2,28.0%,2,28.0%,4,21.9%,4,21.9%,5,-13.1%,5,-13.1%,32,-6.9%,32,-6.9%
BAL,3-1,3,27.0%,3,27.0%,11,6.1%,11,6.1%,9,-7.3%,9,-7.3%,1,13.6%,1,13.6%
IND,3-1,4,25.3%,4,25.3%,24,-5.5%,24,-5.5%,1,-25.7%,1,-25.7%,4,5.1%,4,5.1%
GB,4-0,5,25.2%,5,25.2%,1,30.4%,1,30.4%,26,8.8%,26,8.8%,9,3.6%,9,3.6%
SEA,4-0,6,23.9%,6,23.9%,3,22.3%,3,22.3%,21,3.8%,21,3.8%,3,5.4%,3,5.4%
PIT,3-0,7,20.7%,7,20.7%,18,1.4%,18,1.4%,3,-18.5%,3,-18.5%,13,0.8%,13,0.8%
NO,2-2,8,18.7%,8,18.7%,8,8.3%,8,8.3%,8,-7.7%,8,-7.7%,10,2.8%,10,2.8%
SF,2-2,9,17.0%,9,17.0%,15,4.8%,15,4.8%,6,-12.1%,6,-12.1%,15,0.1%,15,0.1%
BUF,4-0,10,16.4%,10,16.4%,5,19.5%,5,19.5%,22,5.7%,22,5.7%,11,2.5%,11,2.5%
LAR,3-1,11,15.5%,11,15.5%,2,22.6%,2,22.6%,15,0.5%,15,0.5%,31,-6.6%,31,-6.6%
CLE,3-1,12,2.5%,12,2.5%,9,7.5%,9,7.5%,17,1.2%,17,1.2%,27,-3.8%,27,-3.8%
MIN,1-3,13,2.5%,13,2.5%,16,4.5%,16,4.5%,13,-0.7%,13,-0.7%,23,-2.7%,23,-2.7%
TEN,3-0,14,2.2%,14,2.2%,13,5.9%,13,5.9%,18,2.0%,18,2.0%,18,-1.6%,18,-1.6%
JAX,1-3,15,-1.3%,15,-1.3%,6,16.9%,6,16.9%,32,16.3%,32,16.3%,20,-2.0%,20,-2.0%
DAL,1-3,16,-3.2%,16,-3.2%,12,6.1%,12,6.1%,24,7.9%,24,7.9%,17,-1.4%,17,-1.4%
NE,2-2,17,-4.1%,17,-4.1%,17,2.3%,17,2.3%,23,6.8%,23,6.8%,14,0.3%,14,0.3%
LAC,1-3,18,-5.4%,18,-5.4%,19,1.1%,19,1.1%,20,2.4%,20,2.4%,29,-4.0%,29,-4.0%
CAR,2-2,19,-5.6%,19,-5.6%,14,5.8%,14,5.8%,28,9.8%,28,9.8%,19,-1.6%,19,-1.6%
CIN,1-2-1,20,-6.4%,20,-6.4%,26,-9.8%,26,-9.8%,16,0.8%,16,0.8%,7,4.2%,7,4.2%
HOU,0-4,21,-7.3%,21,-7.3%,20,0.3%,20,0.3%,27,9.0%,27,9.0%,12,1.3%,12,1.3%
CHI,3-1,22,-9.3%,22,-9.3%,27,-15.5%,27,-15.5%,7,-10.6%,7,-10.6%,30,-4.3%,30,-4.3%
ARI,2-2,23,-9.8%,23,-9.8%,25,-7.6%,25,-7.6%,19,2.2%,19,2.2%,16,-0.1%,16,-0.1%
DET,1-3,24,-10.9%,24,-10.9%,23,-5.1%,23,-5.1%,29,10.8%,29,10.8%,6,4.9%,6,4.9%
LV,2-2,25,-11.7%,25,-11.7%,10,6.4%,10,6.4%,30,15.9%,30,15.9%,22,-2.3%,22,-2.3%
MIA,1-3,26,-12.1%,26,-12.1%,22,-2.9%,22,-2.9%,31,16.0%,31,16.0%,2,6.8%,2,6.8%
ATL,0-4,27,-13.6%,27,-13.6%,21,-1.8%,21,-1.8%,25,7.9%,25,7.9%,28,-3.8%,28,-3.8%
WAS,1-3,28,-17.1%,28,-17.1%,29,-28.3%,29,-28.3%,4,-13.9%,4,-13.9%,24,-2.8%,24,-2.8%
NYJ,0-4,29,-26.5%,29,-26.5%,28,-28.3%,28,-28.3%,10,-5.3%,10,-5.3%,26,-3.5%,26,-3.5%
PHI,1-2-1,30,-29.7%,30,-29.7%,31,-34.2%,31,-34.2%,14,-0.5%,14,-0.5%,8,4.0%,8,4.0%
DEN,1-3,31,-30.1%,31,-30.1%,30,-30.1%,30,-30.1%,12,-2.1%,12,-2.1%,21,-2.1%,21,-2.1%
NYG,0-4,32,-32.4%,32,-32.4%,32,-39.8%,32,-39.8%,11,-2.3%,11,-2.3%,5,5.0%,5,5.0%

