Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
TB,0.0000,1.0000,0.3900,1.0000,0.4100,6.0000,0.1300,6.0000,0.1400,1.0000,-0.2500,1.0000,-0.2600,13.0000,0.0100,12.0000,0.0200,NO,1.0000,7.0000,0.2000,7.0000,0.2000,7.0000,0.0900,7.0000,0.0900,8.0000,-0.0700,10.0000,-0.0600,5.0000,0.0500,7.0000,0.0500,1.0000,-175.0000,155.0000
PIT,1.0000,2.0000,0.3000,2.0000,0.3100,14.0000,0.0400,13.0000,0.0400,2.0000,-0.2200,2.0000,-0.2200,7.0000,0.0500,5.0000,0.0500,DAL,0.0000,30.0000,-0.2400,30.0000,-0.2600,26.0000,-0.1600,26.0000,-0.1700,24.0000,0.0800,25.0000,0.0900,16.0000,0.0000,16.0000,0.0100,0.0000,-1200.0000,750.0000
BAL,1.0000,3.0000,0.2800,4.0000,0.2600,20.0000,-0.0100,21.0000,-0.0200,5.0000,-0.1700,4.0000,-0.1600,1.0000,0.1200,1.0000,0.1200,IND,0.0000,5.0000,0.2400,5.0000,0.2600,22.0000,-0.0100,20.0000,-0.0100,3.0000,-0.2000,3.0000,-0.2100,4.0000,0.0500,4.0000,0.0600,0.0000,-105.0000,-115.0000
KC,1.0000,4.0000,0.2700,3.0000,0.2800,1.0000,0.2500,1.0000,0.2500,13.0000,-0.0400,12.0000,-0.0400,23.0000,-0.0200,21.0000,-0.0100,CAR,0.0000,16.0000,-0.0100,15.0000,-0.0100,12.0000,0.0700,12.0000,0.0700,25.0000,0.0800,24.0000,0.0800,17.0000,0.0000,17.0000,0.0000,1.0000,-500.0000,400.0000
IND,0.0000,5.0000,0.2400,5.0000,0.2600,22.0000,-0.0100,20.0000,-0.0100,3.0000,-0.2000,3.0000,-0.2100,4.0000,0.0500,4.0000,0.0600,BAL,1.0000,3.0000,0.2800,4.0000,0.2600,20.0000,-0.0100,21.0000,-0.0200,5.0000,-0.1700,4.0000,-0.1600,1.0000,0.1200,1.0000,0.1200,1.0000,-115.0000,-105.0000
SEA,0.0000,6.0000,0.2300,6.0000,0.2300,3.0000,0.2300,3.0000,0.2300,21.0000,0.0600,20.0000,0.0500,3.0000,0.0600,3.0000,0.0600,BUF,1.0000,14.0000,0.0200,14.0000,0.0200,8.0000,0.0800,10.0000,0.0800,23.0000,0.0700,23.0000,0.0700,11.0000,0.0100,11.0000,0.0200,0.0000,-165.0000,145.0000
NO,1.0000,7.0000,0.2000,7.0000,0.2000,7.0000,0.0900,7.0000,0.0900,8.0000,-0.0700,10.0000,-0.0600,5.0000,0.0500,7.0000,0.0500,TB,0.0000,1.0000,0.3900,1.0000,0.4100,6.0000,0.1300,6.0000,0.1400,1.0000,-0.2500,1.0000,-0.2600,13.0000,0.0100,12.0000,0.0200,0.0000,155.0000,-175.0000
GB,1.0000,8.0000,0.1500,10.0000,0.1500,2.0000,0.2300,4.0000,0.2200,29.0000,0.1000,26.0000,0.0900,10.0000,0.0200,10.0000,0.0200,SF,0.0000,12.0000,0.1200,12.0000,0.1200,9.0000,0.0800,11.0000,0.0800,12.0000,-0.0400,13.0000,-0.0300,14.0000,0.0100,14.0000,0.0100,0.0000,-260.0000,220.0000
MIA,1.0000,9.0000,0.1400,8.0000,0.1800,21.0000,-0.0100,19.0000,0.0000,11.0000,-0.0500,9.0000,-0.0700,2.0000,0.1100,2.0000,0.1100,ARI,0.0000,11.0000,0.1300,11.0000,0.1400,10.0000,0.0700,9.0000,0.0800,10.0000,-0.0500,11.0000,-0.0600,15.0000,0.0100,15.0000,0.0100,0.0000,220.0000,-260.0000
ARI,0.0000,11.0000,0.1300,11.0000,0.1400,10.0000,0.0700,9.0000,0.0800,10.0000,-0.0500,11.0000,-0.0600,15.0000,0.0100,15.0000,0.0100,MIA,1.0000,9.0000,0.1400,8.0000,0.1800,21.0000,-0.0100,19.0000,0.0000,11.0000,-0.0500,9.0000,-0.0700,2.0000,0.1100,2.0000,0.1100,1.0000,-260.0000,220.0000
SF,0.0000,12.0000,0.1200,12.0000,0.1200,9.0000,0.0800,11.0000,0.0800,12.0000,-0.0400,13.0000,-0.0300,14.0000,0.0100,14.0000,0.0100,GB,1.0000,8.0000,0.1500,10.0000,0.1500,2.0000,0.2300,4.0000,0.2200,29.0000,0.1000,26.0000,0.0900,10.0000,0.0200,10.0000,0.0200,1.0000,220.0000,-260.0000
TEN,1.0000,13.0000,0.0800,13.0000,0.1000,4.0000,0.2200,2.0000,0.2300,20.0000,0.0600,21.0000,0.0600,31.0000,-0.0800,31.0000,-0.0700,CHI,0.0000,18.0000,-0.0400,18.0000,-0.0400,27.0000,-0.1700,27.0000,-0.1800,6.0000,-0.1500,6.0000,-0.1600,21.0000,-0.0200,22.0000,-0.0100,1.0000,-275.0000,235.0000
BUF,1.0000,14.0000,0.0200,14.0000,0.0200,8.0000,0.0800,10.0000,0.0800,23.0000,0.0700,23.0000,0.0700,11.0000,0.0100,11.0000,0.0200,SEA,0.0000,6.0000,0.2300,6.0000,0.2300,3.0000,0.2300,3.0000,0.2300,21.0000,0.0600,20.0000,0.0500,3.0000,0.0600,3.0000,0.0600,1.0000,145.0000,-165.0000
MIN,1.0000,15.0000,-0.0100,16.0000,-0.0200,16.0000,0.0300,15.0000,0.0300,16.0000,0.0300,16.0000,0.0300,22.0000,-0.0200,23.0000,-0.0200,DET,0.0000,17.0000,-0.0200,17.0000,-0.0200,18.0000,0.0100,18.0000,0.0000,17.0000,0.0400,17.0000,0.0400,12.0000,0.0100,13.0000,0.0100,1.0000,-175.0000,155.0000
CAR,0.0000,16.0000,-0.0100,15.0000,-0.0100,12.0000,0.0700,12.0000,0.0700,25.0000,0.0800,24.0000,0.0800,17.0000,0.0000,17.0000,0.0000,KC,1.0000,4.0000,0.2700,3.0000,0.2800,1.0000,0.2500,1.0000,0.2500,13.0000,-0.0400,12.0000,-0.0400,23.0000,-0.0200,21.0000,-0.0100,0.0000,400.0000,-500.0000
DET,0.0000,17.0000,-0.0200,17.0000,-0.0200,18.0000,0.0100,18.0000,0.0000,17.0000,0.0400,17.0000,0.0400,12.0000,0.0100,13.0000,0.0100,MIN,1.0000,15.0000,-0.0100,16.0000,-0.0200,16.0000,0.0300,15.0000,0.0300,16.0000,0.0300,16.0000,0.0300,22.0000,-0.0200,23.0000,-0.0200,0.0000,155.0000,-175.0000
CHI,0.0000,18.0000,-0.0400,18.0000,-0.0400,27.0000,-0.1700,27.0000,-0.1800,6.0000,-0.1500,6.0000,-0.1600,21.0000,-0.0200,22.0000,-0.0100,TEN,1.0000,13.0000,0.0800,13.0000,0.1000,4.0000,0.2200,2.0000,0.2300,20.0000,0.0600,21.0000,0.0600,31.0000,-0.0800,31.0000,-0.0700,0.0000,235.0000,-275.0000
LAC,0.0000,19.0000,-0.0400,19.0000,-0.0400,11.0000,0.0700,8.0000,0.0800,15.0000,0.0200,15.0000,0.0200,32.0000,-0.1000,32.0000,-0.1000,LV,1.0000,24.0000,-0.1200,24.0000,-0.1300,13.0000,0.0500,14.0000,0.0400,31.0000,0.1500,31.0000,0.1500,24.0000,-0.0200,24.0000,-0.0200,1.0000,100.0000,-120.0000
HOU,1.0000,20.0000,-0.0700,21.0000,-0.0800,15.0000,0.0300,17.0000,0.0300,28.0000,0.1000,28.0000,0.1000,19.0000,-0.0100,19.0000,-0.0100,JAX,0.0000,31.0000,-0.2500,31.0000,-0.2900,19.0000,-0.0100,22.0000,-0.0300,32.0000,0.2000,32.0000,0.2100,27.0000,-0.0500,28.0000,-0.0500,0.0000,-300.0000,250.0000
WAS,0.0000,21.0000,-0.0900,22.0000,-0.0900,31.0000,-0.2200,31.0000,-0.2100,4.0000,-0.1700,5.0000,-0.1600,25.0000,-0.0300,25.0000,-0.0300,NYG,1.0000,27.0000,-0.1900,25.0000,-0.1800,28.0000,-0.1900,28.0000,-0.1800,18.0000,0.0500,19.0000,0.0500,6.0000,0.0500,6.0000,0.0500,1.0000,-160.0000,140.0000
ATL,1.0000,23.0000,-0.1100,23.0000,-0.1100,23.0000,-0.0300,23.0000,-0.0400,22.0000,0.0700,22.0000,0.0600,18.0000,-0.0100,18.0000,-0.0100,DEN,0.0000,25.0000,-0.1900,27.0000,-0.1900,30.0000,-0.2100,30.0000,-0.2100,7.0000,-0.0700,8.0000,-0.0700,26.0000,-0.0400,26.0000,-0.0400,1.0000,-210.0000,180.0000
LV,1.0000,24.0000,-0.1200,24.0000,-0.1300,13.0000,0.0500,14.0000,0.0400,31.0000,0.1500,31.0000,0.1500,24.0000,-0.0200,24.0000,-0.0200,LAC,0.0000,19.0000,-0.0400,19.0000,-0.0400,11.0000,0.0700,8.0000,0.0800,15.0000,0.0200,15.0000,0.0200,32.0000,-0.1000,32.0000,-0.1000,0.0000,-120.0000,100.0000
DEN,0.0000,25.0000,-0.1900,27.0000,-0.1900,30.0000,-0.2100,30.0000,-0.2100,7.0000,-0.0700,8.0000,-0.0700,26.0000,-0.0400,26.0000,-0.0400,ATL,1.0000,23.0000,-0.1100,23.0000,-0.1100,23.0000,-0.0300,23.0000,-0.0400,22.0000,0.0700,22.0000,0.0600,18.0000,-0.0100,18.0000,-0.0100,0.0000,180.0000,-210.0000
