Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM,Suc Rate Rank,Suc Rate
J. Richard,LV,46,30,46.8%,27.5%,22,123,142,1,1
L. Fournette,TB,46,44,2.1%,1.6%,97,367,442,6,0
C. Edmonds,ARI,42,33,1.8%,-0.5%,97,448,421,1,1
J. Jackson,LAC,40,35,9.2%,6.9%,59,270,258,0,0
J. Adams,NYJ,37,54,20.1%,33.2%,29,157,171,2,0
C. McCaffrey,CAR,37,56,5.0%,12.2%,59,225,291,5,0
S. Perine,CIN,35,44,4.4%,7.9%,63,301,288,3,0
L. Bell,2TM,34,13,0.6%,-5.2%,83,329,375,2,0
D. Ogunbowale,JAX,33,5,17.8%,-4.6%,32,145,159,0,0
B. Scott,PHI,32,10,1.4%,-5.5%,80,374,331,1,1
R. Freeman,DEN,30,33,12.4%,14.1%,35,170,174,0,0
D. Booker,LV,26,40,-1.8%,1.7%,93,423,378,3,1
D. Foreman,TEN,26,11,20.4%,3.5%,22,95,117,0,0
A. Mattison,MIN,24,34,-2.8%,-0.6%,96,434,403,2,0
N. Hines,IND,22,24,-2.5%,-2.1%,89,380,353,3,0
D. Williams,KC,22,19,2.7%,0.9%,39,169,207,1,0
I. Smith,ATL,21,32,0.0%,4.2%,63,268,247,1,0
R. Smith,CAR,16,10,-0.8%,-3.6%,41,156,198,1,1
D. Lewis,NYG,14,-11,1.4%,-16.4%,29,115,143,2,1
J. Taylor,NE,13,27,7.0%,23.2%,23,110,95,0,0
D. Dallas,SEA,11,-6,-1.8%,-11.9%,34,108,165,2,0
C. Clement,PHI,9,8,2.7%,1.5%,21,75,84,1,0
T. Johnson,NYJ,8,45,-5.0%,10.5%,54,254,216,1,0
M. Ingram,BAL,5,39,-6.8%,4.5%,71,299,266,2,0
T. Williams,CIN,5,10,-4.1%,0.2%,26,157,102,0,1
D. Freeman,NYG,4,-15,-6.6%,-15.3%,54,172,198,1,0
J. Hasty,SF,1,-8,-8.0%,-13.4%,39,148,147,1,1
D. Johnson,CLE,1,-1,-7.9%,-9.6%,33,166,97,0,1
P. Barber,WAS,-3,-28,-9.2%,-14.9%,94,258,376,4,0
J. McNichols,TEN,-4,0,-10.9%,-8.4%,47,204,158,1,0
S. Ahmed,MIA,-6,58,-10.3%,8.7%,75,319,279,3,0
L. Perine,NYJ,-6,11,-10.7%,-4.7%,64,232,242,2,0
K. Johnson,DET,-7,2,-11.7%,-7.5%,52,181,183,2,1
M. Breida,MIA,-8,-3,-11.8%,-10.0%,59,254,194,0,2
D. Thompson,KC,-10,-2,-17.8%,-10.5%,27,97,79,1,1
K. Vaughn,TB,-17,-5,-25.6%,-13.7%,26,109,59,0,0
J. White,NE,-27,-15,-26.5%,-18.2%,35,121,87,2,1
A. McFarland,PIT,-30,-23,-31.9%,-26.6%,33,113,62,0,0
D. Washington,2TM,-33,-28,-36.3%,-32.2%,31,91,49,0,0
J. Wilkins,IND,-34,-25,-18.0%,-15.5%,84,308,253,1,0
