Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.0000,1.0000,0.3600,1.0000,0.3700,6.0000,0.1400,5.0000,0.1300,5.0000,-0.1700,5.0000,-0.1900,5.0000,0.0500,5.0000,0.0600,ATL,0.0000,20.0000,-0.0900,20.0000,-0.0700,20.0000,-0.0100,20.0000,-0.0100,22.0000,0.0700,20.0000,0.0600,20.0000,-0.0100,20.0000,-0.0100,1.0000,-180.0000,160.0000
TB,0.0000,2.0000,0.3000,2.0000,0.3000,8.0000,0.1000,8.0000,0.0900,1.0000,-0.2200,1.0000,-0.2200,23.0000,-0.0200,22.0000,-0.0100,LAR,1.0000,9.0000,0.1500,8.0000,0.1500,5.0000,0.1400,6.0000,0.1200,8.0000,-0.0700,7.0000,-0.1000,29.0000,-0.0700,29.0000,-0.0700,1.0000,-210.0000,180.0000
PIT,1.0000,3.0000,0.2500,3.0000,0.2700,16.0000,0.0100,17.0000,0.0100,2.0000,-0.2000,2.0000,-0.2200,8.0000,0.0400,7.0000,0.0400,JAX,0.0000,27.0000,-0.1600,26.0000,-0.1900,23.0000,-0.0500,24.0000,-0.0800,31.0000,0.1300,31.0000,0.1300,13.0000,0.0200,12.0000,0.0300,0.0000,-550.0000,425.0000
KC,1.0000,4.0000,0.2400,4.0000,0.2500,1.0000,0.2400,1.0000,0.2500,14.0000,-0.0100,14.0000,-0.0100,22.0000,-0.0100,19.0000,-0.0100,LV,0.0000,14.0000,0.0300,14.0000,0.0300,9.0000,0.0900,12.0000,0.0800,21.0000,0.0700,19.0000,0.0500,16.0000,0.0100,14.0000,0.0100,0.0000,-380.0000,320.0000
IND,1.0000,5.0000,0.2300,5.0000,0.2400,18.0000,0.0000,15.0000,0.0100,4.0000,-0.1900,4.0000,-0.1900,6.0000,0.0400,8.0000,0.0400,GB,0.0000,7.0000,0.1600,10.0000,0.1300,2.0000,0.2100,3.0000,0.1900,16.0000,0.0300,16.0000,0.0300,24.0000,-0.0200,25.0000,-0.0300,1.0000,-120.0000,100.0000
BAL,0.0000,6.0000,0.1700,9.0000,0.1400,24.0000,-0.0600,23.0000,-0.0700,6.0000,-0.1300,6.0000,-0.1200,2.0000,0.1000,2.0000,0.1000,TEN,1.0000,16.0000,0.0200,15.0000,0.0300,3.0000,0.2100,2.0000,0.2200,24.0000,0.0900,24.0000,0.0900,31.0000,-0.1000,31.0000,-0.1100,1.0000,-250.0000,210.0000
GB,0.0000,7.0000,0.1600,10.0000,0.1300,2.0000,0.2100,3.0000,0.1900,16.0000,0.0300,16.0000,0.0300,24.0000,-0.0200,25.0000,-0.0300,IND,1.0000,5.0000,0.2300,5.0000,0.2400,18.0000,0.0000,15.0000,0.0100,4.0000,-0.1900,4.0000,-0.1900,6.0000,0.0400,8.0000,0.0400,0.0000,100.0000,-120.0000
SEA,1.0000,8.0000,0.1600,7.0000,0.1600,4.0000,0.1600,4.0000,0.1600,23.0000,0.0700,21.0000,0.0600,3.0000,0.0700,4.0000,0.0700,ARI,0.0000,11.0000,0.1100,11.0000,0.1300,12.0000,0.0700,11.0000,0.0800,9.0000,-0.0500,9.0000,-0.0600,21.0000,-0.0100,21.0000,-0.0100,1.0000,-165.0000,145.0000
LAR,1.0000,9.0000,0.1500,8.0000,0.1500,5.0000,0.1400,6.0000,0.1200,8.0000,-0.0700,7.0000,-0.1000,29.0000,-0.0700,29.0000,-0.0700,TB,0.0000,2.0000,0.3000,2.0000,0.3000,8.0000,0.1000,8.0000,0.0900,1.0000,-0.2200,1.0000,-0.2200,23.0000,-0.0200,22.0000,-0.0100,0.0000,180.0000,-210.0000
MIA,0.0000,10.0000,0.1200,6.0000,0.1700,19.0000,0.0000,18.0000,0.0000,13.0000,-0.0200,11.0000,-0.0500,1.0000,0.1100,1.0000,0.1200,DEN,1.0000,31.0000,-0.3000,31.0000,-0.3000,32.0000,-0.3000,32.0000,-0.3100,11.0000,-0.0300,12.0000,-0.0300,26.0000,-0.0300,24.0000,-0.0200,0.0000,-210.0000,180.0000
ARI,0.0000,11.0000,0.1100,11.0000,0.1300,12.0000,0.0700,11.0000,0.0800,9.0000,-0.0500,9.0000,-0.0600,21.0000,-0.0100,21.0000,-0.0100,SEA,1.0000,8.0000,0.1600,7.0000,0.1600,4.0000,0.1600,4.0000,0.1600,23.0000,0.0700,21.0000,0.0600,3.0000,0.0700,4.0000,0.0700,0.0000,145.0000,-165.0000
MIN,0.0000,13.0000,0.0400,13.0000,0.0400,10.0000,0.0800,10.0000,0.0900,10.0000,-0.0500,10.0000,-0.0500,30.0000,-0.0800,30.0000,-0.0900,DAL,1.0000,28.0000,-0.2100,29.0000,-0.2500,27.0000,-0.1700,29.0000,-0.2100,20.0000,0.0600,23.0000,0.0700,10.0000,0.0200,9.0000,0.0300,1.0000,-310.0000,260.0000
LV,0.0000,14.0000,0.0300,14.0000,0.0300,9.0000,0.0900,12.0000,0.0800,21.0000,0.0700,19.0000,0.0500,16.0000,0.0100,14.0000,0.0100,KC,1.0000,4.0000,0.2400,4.0000,0.2500,1.0000,0.2400,1.0000,0.2500,14.0000,-0.0100,14.0000,-0.0100,22.0000,-0.0100,19.0000,-0.0100,1.0000,320.0000,-380.0000
TEN,1.0000,16.0000,0.0200,15.0000,0.0300,3.0000,0.2100,2.0000,0.2200,24.0000,0.0900,24.0000,0.0900,31.0000,-0.1000,31.0000,-0.1100,BAL,0.0000,6.0000,0.1700,9.0000,0.1400,24.0000,-0.0600,23.0000,-0.0700,6.0000,-0.1300,6.0000,-0.1200,2.0000,0.1000,2.0000,0.1000,0.0000,210.0000,-250.0000
CAR,1.0000,17.0000,0.0200,16.0000,0.0300,7.0000,0.1000,7.0000,0.1000,27.0000,0.1000,26.0000,0.1000,11.0000,0.0200,13.0000,0.0300,DET,0.0000,19.0000,-0.0300,19.0000,-0.0300,14.0000,0.0600,13.0000,0.0600,25.0000,0.1000,25.0000,0.0900,15.0000,0.0100,16.0000,0.0000,1.0000,150.0000,-170.0000
DET,0.0000,19.0000,-0.0300,19.0000,-0.0300,14.0000,0.0600,13.0000,0.0600,25.0000,0.1000,25.0000,0.0900,15.0000,0.0100,16.0000,0.0000,CAR,1.0000,17.0000,0.0200,16.0000,0.0300,7.0000,0.1000,7.0000,0.1000,27.0000,0.1000,26.0000,0.1000,11.0000,0.0200,13.0000,0.0300,0.0000,-170.0000,150.0000
ATL,0.0000,20.0000,-0.0900,20.0000,-0.0700,20.0000,-0.0100,20.0000,-0.0100,22.0000,0.0700,20.0000,0.0600,20.0000,-0.0100,20.0000,-0.0100,NO,1.0000,1.0000,0.3600,1.0000,0.3700,6.0000,0.1400,5.0000,0.1300,5.0000,-0.1700,5.0000,-0.1900,5.0000,0.0500,5.0000,0.0600,0.0000,160.0000,-180.0000
CLE,1.0000,21.0000,-0.0900,21.0000,-0.0800,17.0000,0.0100,16.0000,0.0100,18.0000,0.0400,18.0000,0.0300,28.0000,-0.0600,28.0000,-0.0600,PHI,0.0000,29.0000,-0.2300,28.0000,-0.2100,28.0000,-0.2100,27.0000,-0.1900,15.0000,0.0100,15.0000,0.0000,19.0000,-0.0100,23.0000,-0.0200,1.0000,-135.0000,115.0000
