Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
CHI,0,23,-0.089,23,-0.089,28,-0.263,28,-0.263,9,-0.14,9,-0.14,9,0.035,9,0.035,CLE,1,9,0.211,9,0.211,1,0.401,1,0.401,25,0.16,25,0.16,24,-0.031,24,-0.031,0,255,-305
LAC,1,24,-0.132,24,-0.132,20,-0.027,20,-0.027,20,0.061,20,0.061,27,-0.045,27,-0.045,KC,0,16,0.05,16,0.05,2,0.361,2,0.361,31,0.337,31,0.337,10,0.026,10,0.026,0,245,-286
GB,1,25,-0.245,25,-0.245,19,-0.026,19,-0.026,28,0.217,28,0.217,15,-0.003,15,-0.003,SF,0,6,0.288,6,0.288,8,0.186,8,0.186,13,-0.086,13,-0.086,11,0.017,11,0.017,0,150,-175
IND,0,26,-0.275,26,-0.275,25,-0.164,25,-0.164,26,0.163,26,0.163,7,0.052,7,0.052,TEN,1,30,-0.495,30,-0.495,23,-0.127,23,-0.127,30,0.298,30,0.298,30,-0.07,30,-0.07,0,202,-235
MIA,0,27,-0.316,27,-0.316,30,-0.391,30,-0.391,11,-0.091,11,-0.091,19,-0.016,19,-0.016,LV,1,19,0.023,19,0.023,18,-0.004,18,-0.004,16,-0.016,16,-0.016,14,0.011,14,0.011,0,175,-200
NYJ,0,28,-0.369,28,-0.369,29,-0.352,29,-0.352,17,0,17,0,21,-0.017,21,-0.017,DEN,1,4,0.389,4,0.389,4,0.329,4,0.329,10,-0.129,10,-0.129,29,-0.069,29,-0.069,0,445,-560
DET,0,29,-0.433,29,-0.433,22,-0.065,22,-0.065,32,0.361,32,0.361,18,-0.008,18,-0.008,BAL,1,17,0.05,17,0.05,11,0.11,11,0.11,23,0.131,23,0.131,3,0.071,3,0.071,1,335,-400
TEN,1,30,-0.495,30,-0.495,23,-0.127,23,-0.127,30,0.298,30,0.298,30,-0.07,30,-0.07,IND,0,26,-0.275,26,-0.275,25,-0.164,25,-0.164,26,0.163,26,0.163,7,0.052,7,0.052,1,-235,202
JAX,0,31,-0.532,31,-0.532,31,-0.406,31,-0.406,24,0.14,24,0.14,13,0.013,13,0.013,ARI,1,5,0.324,5,0.324,10,0.114,10,0.114,6,-0.162,6,-0.162,8,0.047,8,0.047,1,320,-385
ATL,1,32,-0.766,32,-0.766,32,-0.485,32,-0.485,29,0.264,29,0.264,20,-0.017,20,-0.017,NYG,0,22,-0.021,22,-0.021,12,0.101,12,0.101,27,0.181,27,0.181,5,0.059,5,0.059,0,128,-148
