Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
M. Thomas,NO,60,45,59,53,49,-2.6%,45,-0.9%,55,438,74,431,0,16,73%,0,1/10
B. Perriman,NYJ,61,41,65,33,56,-4.4%,59,-6.0%,60,505,70,470,3,85,50%,0,5/91
J. Guyton,LAC,62,39,70,17,53,-3.7%,68,-8.7%,55,511,79,410,3,84,51%,0,2/33
B. Berrios,NYJ,63,39,71,17,52,-3.4%,67,-8.7%,55,394,81,399,3,35,67%,0,1/10
M. Pittman,IND,64,32,67,26,61,-5.8%,61,-7.0%,61,503,75,430,1,47,66%,0,1/6
J. Smith-Schuster,PIT,65,28,66,31,69,-10.0%,72,-9.7%,128,831,26,890,9,7,76%,3,2/25
D. Chark,JAX,66,26,63,37,68,-9.1%,64,-7.7%,93,706,47,637,5,73,57%,0,1/30
S. Shepard,NYG,67,25,62,37,67,-9.1%,63,-7.3%,90,656,50,608,3,14,73%,0,0/0
R. Anderson,CAR,68,19,69,19,73,-10.9%,73,-10.9%,137,1099,24,915,3,27,70%,1,4/39
R. Woods,LAR,69,18,64,35,72,-10.9%,71,-9.2%,129,936,29,847,6,28,70%,1,1/1
C. Conley,JAX,70,18,68,20,66,-9.0%,66,-8.6%,63,471,76,429,2,55,63%,1,0/0
J. Washington,PIT,71,18,72,17,65,-8.9%,69,-9.2%,56,392,77,413,5,80,54%,0,4/50
T. McLaurin,WAS,72,18,57,56,74,-11.0%,62,-7.3%,134,1118,27,881,4,48,65%,1,2/11
J. Reynolds,LAR,73,13,75,9,71,-10.6%,74,-11.3%,81,618,62,553,2,54,64%,1,1/17
G. Tate,NYG,74,11,73,14,70,-10.0%,70,-9.2%,52,388,84,349,2,34,67%,0,1/22
J. Grant,MIA,75,3,76,3,75,-11.9%,76,-12.1%,54,373,82,362,1,38,67%,0,1/30
D. Byrd,NE,76,2,78,-10,76,-12.3%,77,-14.3%,77,604,69,480,1,66,61%,1,1/5
D. Slayton,NYG,77,-7,74,9,77,-13.6%,75,-11.4%,96,751,53,601,3,83,52%,1,0/0
L. Fitzgerald,ARI,78,-30,80,-43,78,-18.1%,80,-20.3%,72,409,80,408,1,9,75%,0,1/6
J. Reagor,PHI,79,-32,77,-7,83,-20.5%,78,-14.5%,54,396,86,288,1,72,57%,0,1/12
K. Hamler,DEN,80,-33,79,-39,82,-20.3%,81,-21.8%,56,381,85,302,3,80,54%,1,1/8
G. Ward,PHI,81,-47,81,-63,80,-20.0%,83,-22.5%,79,419,72,450,6,37,67%,1,1/14
D. Mooney,CHI,82,-60,84,-76,81,-20.3%,82,-22.3%,98,623,63,552,4,61,62%,1,1/21
N. Harry,NE,83,-67,83,-74,86,-27.8%,86,-29.4%,57,309,87,263,2,71,58%,1,1/16
D. Johnson,PIT,84,-73,82,-64,79,-19.1%,79,-18.3%,144,923,34,817,7,65,61%,1,3/56
A. Miller,CHI,85,-80,85,-85,85,-26.4%,85,-27.2%,76,485,83,355,2,50,64%,1,0/0
J. Jeudy,DEN,86,-92,86,-118,84,-22.9%,84,-25.9%,113,856,55,595,3,86,46%,2,4/45
A. Green,CIN,87,-172,87,-179,87,-33.0%,87,-34.0%,104,523,73,433,2,87,45%,0,4/32

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
A. Lazard,GB,1,153,1,149,4,28.3%,6,27.5%,46,451,1,528,3,21,72%,0,1/14
T. Johnson,LAC,2,139,2,142,1,61.5%,1,62.7%,26,398,8,359,3,11,77%,0,0/0
R. Cobb,HOU,3,107,3,106,15,15.8%,12,15.5%,48,441,2,464,3,8,79%,0,0/0
I. McKenzie,BUF,4,99,4,105,5,25.1%,5,27.5%,34,282,9,357,5,4,88%,0,0/0
D. Peoples-Jones,CLE,5,95,5,93,2,51.9%,2,50.8%,20,304,21,260,2,26,70%,0,0/0
K. Golladay,DET,6,90,6,93,10,22.0%,10,23.0%,32,338,12,344,2,47,63%,0,2/33
K. Coutee,HOU,7,85,8,84,17,14.6%,17,14.2%,40,400,6,379,3,6,83%,3,0/0
W. Snead,BAL,8,81,7,87,24,10.1%,20,11.7%,48,432,4,411,3,30,69%,1,0/0
R. James,SF,9,78,10,75,13,16.3%,13,15.4%,36,394,13,334,1,35,66%,0,1/12
D. Moore,SEA,10,76,9,84,26,7.0%,22,8.9%,47,417,3,428,6,16,74%,0,0/0
P. Williams,MIA,11,71,16,55,22,10.8%,27,5.5%,35,288,11,353,4,71,51%,0,3/64
Q. Cephus,DET,12,66,13,58,23,10.6%,23,7.9%,35,349,14,329,2,60,57%,0,0/0
B. Edwards,LV,13,64,11,69,3,36.6%,3,40.3%,15,193,33,200,1,18,73%,0,1/20
D. Samuel,SF,14,64,12,60,28,5.5%,28,4.3%,44,391,5,380,1,15,75%,0,0/0
O. Zaccheaus,ATL,15,51,23,41,25,8.5%,29,4.2%,32,274,17,272,1,47,63%,0,0/0
M. Sanu,2TM,16,51,19,50,16,14.9%,16,14.7%,24,187,27,225,1,22,71%,0,0/0
T. Johnson,TB,17,50,20,48,6,24.4%,11,22.6%,17,169,40,184,2,24,71%,0,0/0
K. Hodge,CLE,18,50,17,53,9,23.0%,7,25.6%,17,180,38,186,0,39,65%,0,0/0
C. Hansen,HOU,19,49,22,47,19,12.5%,19,11.8%,24,236,25,229,1,22,71%,0,0/0
C. Sims,WAS,20,48,14,58,34,0.3%,30,3.0%,48,477,7,373,1,32,67%,0,0/0
B. Pringle,KC,21,47,15,57,11,18.4%,8,25.1%,17,160,37,193,1,13,76%,0,1/7
M. Boykin,BAL,22,45,21,47,27,5.7%,25,6.6%,33,266,19,267,4,59,58%,0,0/0
O. Johnson,MIN,23,45,25,38,12,18.0%,18,13.6%,19,189,39,185,0,17,74%,0,0/0
A. Jeffery,PHI,24,44,18,53,7,23.3%,4,30.2%,13,115,45,166,1,75,46%,0,3/83
18-M.Hall,2TM,25,40,26,37,30,3.4%,31,2.3%,32,302,20,263,2,61,56%,0,1/11
C. Batson,TEN,26,38,24,40,8,23.2%,9,24.9%,13,100,50,142,1,2,92%,0,1/17
H. Ruggs,LV,27,38,29,28,37,-2.4%,38,-5.0%,43,452,10,354,2,53,60%,1,1/29
K. Stills,HOU,28,35,30,27,21,10.8%,26,5.7%,19,144,43,173,1,58,58%,0,1/28
K. Raymond,TEN,29,34,28,33,14,16.2%,14,15.3%,15,187,49,145,0,54,60%,0,0/0
D. Harris,NO,30,29,32,27,33,1.3%,33,0.1%,25,186,29,211,1,7,80%,0,1/13
E. St. Brown,GB,31,27,31,27,18,14.5%,15,15.1%,13,117,58,120,1,63,54%,0,0/0
M. Callaway,NO,32,27,33,23,35,0.1%,35,-1.6%,27,213,30,209,0,9,78%,0,0/0
J. Watson,TB,33,19,36,16,20,11.7%,24,7.1%,11,94,65,94,0,42,64%,0,0/0
C. Johnson,JAX,34,19,27,33,38,-5.0%,32,1.0%,31,272,26,225,2,57,58%,0,0/0
A. Humphries,TEN,35,18,35,17,39,-5.8%,39,-6.2%,35,228,24,236,2,35,66%,0,0/0
J. Mickens,TB,36,15,34,19,29,4.6%,21,9.4%,10,58,67,89,0,26,70%,0,1/14
A. Mack,NYG,37,14,38,10,32,1.5%,36,-3.1%,11,91,62,103,0,42,64%,0,1/4
O. Beckham,CLE,38,13,37,14,44,-8.8%,42,-8.5%,43,319,15,294,3,68,53%,0,1/16
M. Perry,MIA,39,13,39,10,36,-0.3%,37,-3.5%,13,92,61,104,1,29,69%,0,0/0
J. Edelman,NE,40,12,41,9,43,-8.7%,46,-9.6%,39,315,18,267,0,63,54%,0,0/0
D. Jackson,PHI,41,12,45,6,40,-6.9%,45,-9.5%,26,236,42,181,1,63,54%,0,0/0
D. Harris,IND,42,11,42,8,31,3.0%,34,-1.3%,10,79,71,76,0,1,100%,0,0/0
C. Blake,ATL,43,7,48,5,41,-7.8%,43,-9.0%,18,141,56,129,0,20,72%,0,1/11
A. Erickson,CIN,44,6,43,8,42,-7.9%,40,-6.6%,17,139,59,116,0,24,71%,0,0/0
Z. Jones,LV,45,4,49,5,46,-9.9%,47,-9.7%,20,154,52,135,1,26,70%,0,0/0
F. Swain,SEA,46,4,50,5,47,-10.1%,48,-9.7%,21,159,53,135,2,49,62%,0,0/0
M. Johnson,IND,47,4,40,10,48,-10.9%,41,-8.3%,28,255,41,184,0,72,50%,0,0/0
C. Wilson,DAL,48,4,44,6,49,-11.1%,49,-9.9%,28,189,34,198,2,52,61%,0,1/3
Q. Watkins,PHI,49,3,51,4,45,-9.6%,44,-9.3%,13,106,64,96,1,63,54%,0,1/26
I. Ford,MIA,50,1,53,-1,51,-12.3%,53,-12.8%,44,276,16,281,0,42,64%,0,0/0
C. Beebe,MIN,51,1,47,5,50,-12.3%,51,-10.4%,30,201,35,196,2,32,67%,0,0/0
N. Brown,DAL,52,0,58,-9,52,-12.6%,58,-17.8%,24,154,48,149,0,56,58%,0,0/0
V. Jefferson,LAR,53,-1,46,6,53,-12.9%,50,-10.2%,31,220,36,195,1,51,61%,0,0/0
J. Wims,CHI,54,-1,55,-4,54,-13.3%,56,-16.9%,12,48,68,84,1,72,50%,0,1/21
D. Duvernay,BAL,55,-2,52,2,55,-14.0%,52,-11.7%,26,201,47,150,0,11,77%,0,0/0
D. Bryant,BAL,56,-3,54,-4,56,-15.9%,57,-16.9%,11,47,73,66,2,62,55%,0,0/0
K. Hill,LAC,57,-7,56,-6,64,-20.9%,63,-20.4%,11,73,74,55,0,42,64%,0,0/0
A. Tate,CIN,58,-9,57,-7,57,-17.8%,54,-16.4%,22,150,55,130,0,42,64%,0,1/14
C. Board,NYG,59,-14,66,-23,66,-24.2%,69,-31.3%,16,101,70,78,0,30,69%,0,0/0
M. Hollins,MIA,60,-14,62,-17,60,-19.3%,64,-20.6%,25,176,46,151,1,41,64%,1,1/18
K. Johnson,ARI,61,-15,59,-12,63,-20.8%,61,-19.5%,23,173,57,124,0,37,65%,0,0/0
S. Sims,WAS,62,-15,60,-12,58,-17.9%,55,-16.8%,37,265,28,218,1,19,73%,1,1/13
D. Mims,NYJ,63,-20,63,-19,59,-18.2%,59,-18.0%,44,357,22,258,0,69,52%,0,1/19
I. Wright,WAS,64,-22,67,-27,62,-20.3%,65,-22.2%,35,197,32,201,0,10,77%,0,1/21
D. Inman,WAS,65,-25,61,-15,68,-24.5%,62,-19.9%,28,163,51,136,2,40,64%,1,0/0
J. Bradley,CLE,66,-25,65,-22,76,-44.2%,72,-40.1%,11,60,77,28,0,77,45%,0,0/0
D. Hamilton,DEN,67,-27,64,-21,61,-20.3%,60,-18.5%,44,293,23,250,2,69,52%,1,2/31
L. Bowden,MIA,68,-30,73,-45,65,-22.4%,67,-27.3%,37,211,31,207,0,14,76%,0,0/0
A. Isabella,ARI,69,-31,69,-30,67,-24.4%,66,-24.1%,35,224,44,168,2,54,60%,0,0/0
83-J.Johnson,NO,70,-33,70,-35,78,-52.3%,78,-55.8%,10,39,79,19,0,78,40%,0,0/0
M. Thomas,CIN,71,-34,68,-27,70,-33.5%,68,-29.6%,21,132,69,82,1,49,62%,1,0/0
D. Ratley,NYG,72,-36,74,-46,80,-59.5%,80,-71.9%,10,63,80,9,0,78,40%,1,0/0
J. Agnew,DET,73,-38,75,-47,71,-36.2%,75,-41.4%,20,89,72,76,0,38,65%,0,1/11
C. Patterson,CHI,74,-39,71,-38,69,-33.2%,70,-32.5%,25,132,63,97,0,5,84%,0,0/0
B. Powell,ATL,75,-40,72,-40,75,-41.3%,74,-40.8%,18,69,75,55,2,32,67%,1,0/0
C. Hogan,NYJ,76,-55,77,-64,74,-38.6%,76,-42.7%,26,118,66,92,0,63,54%,0,0/0
J. Hightower,PHI,77,-55,76,-63,72,-36.8%,73,-40.3%,29,167,60,104,0,80,34%,0,2/28
J. Smith,NYJ,78,-72,79,-79,73,-37.3%,71,-39.5%,37,167,54,132,0,76,46%,0,2/49
R. McCloud,PIT,79,-75,78,-68,77,-51.6%,77,-47.9%,22,77,76,46,0,3,91%,0,2/35
T. Taylor,SF,80,-82,80,-82,79,-58.7%,79,-59.0%,21,86,78,24,0,74,48%,0,0/0

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,TD,FUM
C. Samuel,CAR,1,99,3,81,14,3.1%,15,-4.7%,41,200,2,0
R. Woods,LAR,2,94,4,80,9,32.3%,10,21.4%,24,155,2,1
