Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
M. Williams,ARI,6,27,8,24,4,29.5%,7,26.0%,10,102,13,119,1,6,80%,0,0/0
D. Daniels,ARI,7,26,11,22,6,27.1%,8,22.4%,11,92,12,120,1,16,73%,0,0/0
O. Howard,TB,8,25,10,24,12,11.8%,12,11.0%,19,146,5,166,2,26,58%,0,1/6
N. Boyle,BAL,9,25,9,24,10,14.5%,11,14.1%,17,113,8,148,2,4,82%,0,0/0
S. Anderson,LAC,10,21,7,24,7,25.2%,4,29.9%,11,106,16,102,0,16,73%,0,0/0
C. Uzomah,CIN,11,21,6,25,8,21.5%,6,27.1%,11,87,15,106,1,16,73%,0,0/0
D. Parham,LAC,12,18,13,18,13,5.3%,13,5.1%,20,159,7,158,3,29,50%,0,0/0
G. Swaim,TEN,13,18,12,19,11,13.6%,10,14.7%,11,83,14,110,1,5,82%,0,0/0
M. Lewis,GB,14,13,15,7,14,3.1%,15,-2.1%,17,107,9,137,3,25,59%,0,0/0
R. Izzo,NE,15,8,16,3,16,-1.8%,16,-4.8%,20,199,11,133,0,21,65%,1,0/0
J. Sternberger,GB,16,7,14,11,15,0.5%,14,4.6%,15,114,18,96,1,6,80%,0,0/0
R. Griffin,NYJ,17,-3,19,-8,17,-10.4%,21,-16.6%,12,86,24,62,0,11,75%,0,0/0
T. Hill,NO,18,-5,17,0,21,-13.4%,17,-7.6%,12,98,25,61,1,19,67%,0,1/19
B. Bell,DAL,19,-6,18,-4,20,-13.0%,18,-10.7%,15,110,22,76,0,14,73%,0,0/0
T. Fumagalli,DEN,20,-6,20,-12,19,-13.0%,22,-18.3%,15,80,20,80,1,28,53%,0,0/0
A. Shaheen,MIA,21,-9,21,-13,18,-12.0%,19,-14.3%,22,150,10,137,3,27,55%,0,2/4
J. Witten,LV,22,-13,23,-16,23,-16.5%,23,-19.2%,17,69,19,88,2,10,76%,0,0/0
K. Smith,NYG,23,-14,22,-14,22,-16.4%,20,-16.5%,21,112,17,98,0,3,86%,0,1/8
L. Stocker,ATL,24,-19,24,-21,26,-31.6%,26,-34.5%,11,63,26,24,0,22,64%,0,0/0
J. James,DET,25,-26,25,-25,24,-23.8%,24,-22.7%,22,129,21,76,2,22,64%,0,0/0
D. Yelder,KC,26,-30,29,-43,28,-47.6%,30,-63.8%,11,36,28,-3,0,22,64%,0,0/0
J. Hill,NO,27,-32,26,-35,29,-51.6%,28,-55.3%,10,46,29,-9,1,6,80%,1,0/0
N. Vannett,DEN,28,-35,27,-37,25,-28.3%,25,-29.9%,21,95,23,63,1,19,67%,0,1/9
V. McDonald,PIT,29,-49,28,-38,27,-45.3%,27,-36.3%,20,99,27,2,0,11,75%,0,0/0
D. Harris,CHI,30,-51,30,-48,30,-58.3%,29,-55.6%,14,45,30,-27,0,29,50%,0,0/0

