Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
TB,1.000,1.000,0.410,1.000,0.420,7.000,0.120,7.000,0.130,1.000,-0.290,1.000,-0.300,17.000,0.000,16.000,0.000,LV,0.000,21.000,-0.050,21.000,-0.050,6.000,0.140,6.000,0.140,31.000,0.180,31.000,0.180,21.000,-0.010,21.000,-0.010,0.000,-200.000,175.000
PIT,1.000,3.000,0.310,2.000,0.310,9.000,0.080,9.000,0.090,2.000,-0.190,2.000,-0.190,7.000,0.030,7.000,0.030,TEN,0.000,8.000,0.160,8.000,0.170,3.000,0.240,3.000,0.240,22.000,0.050,22.000,0.050,26.000,-0.030,24.000,-0.020,0.000,100.000,-120.000
SEA,0.000,5.000,0.250,5.000,0.240,1.000,0.270,1.000,0.260,26.000,0.080,26.000,0.080,4.000,0.060,4.000,0.060,ARI,1.000,10.000,0.130,10.000,0.130,12.000,0.060,12.000,0.070,9.000,-0.060,9.000,-0.060,14.000,0.000,14.000,0.010,0.000,-180.000,160.000
KC,1.000,6.000,0.230,6.000,0.230,2.000,0.260,2.000,0.260,10.000,-0.020,10.000,-0.030,29.000,-0.060,28.000,-0.060,DEN,0.000,24.000,-0.140,24.000,-0.140,29.000,-0.260,29.000,-0.260,6.000,-0.110,6.000,-0.110,15.000,0.000,15.000,0.000,0.000,-340.000,280.000
NO,1.000,7.000,0.210,7.000,0.200,10.000,0.080,11.000,0.080,8.000,-0.080,7.000,-0.080,5.000,0.050,5.000,0.050,CAR,0.000,16.000,-0.020,16.000,-0.020,15.000,0.040,15.000,0.040,21.000,0.050,20.000,0.050,19.000,-0.010,19.000,-0.010,1.000,-335.000,275.000
TEN,0.000,8.000,0.160,8.000,0.170,3.000,0.240,3.000,0.240,22.000,0.050,22.000,0.050,26.000,-0.030,24.000,-0.020,PIT,1.000,3.000,0.310,2.000,0.310,9.000,0.080,9.000,0.090,2.000,-0.190,2.000,-0.190,7.000,0.030,7.000,0.030,1.000,-120.000,100.000
LAR,1.000,9.000,0.150,9.000,0.160,5.000,0.180,4.000,0.180,13.000,0.000,13.000,-0.010,27.000,-0.040,27.000,-0.030,CHI,0.000,14.000,0.010,14.000,0.010,26.000,-0.130,26.000,-0.130,5.000,-0.160,5.000,-0.160,24.000,-0.020,25.000,-0.020,1.000,-280.000,240.000
ARI,1.000,10.000,0.130,10.000,0.130,12.000,0.060,12.000,0.070,9.000,-0.060,9.000,-0.060,14.000,0.000,14.000,0.010,SEA,0.000,5.000,0.250,5.000,0.240,1.000,0.270,1.000,0.260,26.000,0.080,26.000,0.080,4.000,0.060,4.000,0.060,1.000,160.000,-180.000
GB,1.000,12.000,0.090,12.000,0.090,4.000,0.180,5.000,0.180,30.000,0.120,29.000,0.120,8.000,0.030,8.000,0.030,HOU,0.000,15.000,0.000,15.000,0.000,8.000,0.100,8.000,0.090,27.000,0.090,27.000,0.090,16.000,0.000,17.000,0.000,0.000,-150.000,130.000
SF,1.000,13.000,0.070,13.000,0.070,13.000,0.040,14.000,0.040,11.000,-0.020,11.000,-0.020,13.000,0.010,13.000,0.010,NE,0.000,22.000,-0.050,22.000,-0.060,25.000,-0.080,25.000,-0.080,14.000,0.000,15.000,0.000,10.000,0.020,10.000,0.020,0.000,130.000,-150.000
CHI,0.000,14.000,0.010,14.000,0.010,26.000,-0.130,26.000,-0.130,5.000,-0.160,5.000,-0.160,24.000,-0.020,25.000,-0.020,LAR,1.000,9.000,0.150,9.000,0.160,5.000,0.180,4.000,0.180,13.000,0.000,13.000,-0.010,27.000,-0.040,27.000,-0.030,0.000,240.000,-280.000
HOU,0.000,15.000,0.000,15.000,0.000,8.000,0.100,8.000,0.090,27.000,0.090,27.000,0.090,16.000,0.000,17.000,0.000,GB,1.000,12.000,0.090,12.000,0.090,4.000,0.180,5.000,0.180,30.000,0.120,29.000,0.120,8.000,0.030,8.000,0.030,1.000,130.000,-150.000
CAR,0.000,16.000,-0.020,16.000,-0.020,15.000,0.040,15.000,0.040,21.000,0.050,20.000,0.050,19.000,-0.010,19.000,-0.010,NO,1.000,7.000,0.210,7.000,0.200,10.000,0.080,11.000,0.080,8.000,-0.080,7.000,-0.080,5.000,0.050,5.000,0.050,0.000,275.000,-335.000
DET,1.000,18.000,-0.030,19.000,-0.030,19.000,0.000,19.000,0.000,23.000,0.060,23.000,0.060,9.000,0.020,9.000,0.020,ATL,0.000,23.000,-0.110,23.000,-0.110,22.000,-0.020,22.000,-0.030,25.000,0.070,25.000,0.070,22.000,-0.020,22.000,-0.020,0.000,100.000,-120.000
BUF,1.000,19.000,-0.030,18.000,-0.030,11.000,0.080,10.000,0.080,29.000,0.120,30.000,0.120,11.000,0.010,11.000,0.010,NYJ,0.000,32.000,-0.410,32.000,-0.410,31.000,-0.290,31.000,-0.290,24.000,0.060,24.000,0.060,30.000,-0.070,30.000,-0.070,0.000,-450.000,375.000
LAC,1.000,20.000,-0.040,20.000,-0.040,16.000,0.030,16.000,0.030,12.000,-0.010,12.000,-0.010,32.000,-0.080,32.000,-0.080,JAX,0.000,28.000,-0.230,28.000,-0.240,17.000,0.010,17.000,0.010,32.000,0.180,32.000,0.190,28.000,-0.060,29.000,-0.060,1.000,-380.000,320.000
LV,0.000,21.000,-0.050,21.000,-0.050,6.000,0.140,6.000,0.140,31.000,0.180,31.000,0.180,21.000,-0.010,21.000,-0.010,TB,1.000,1.000,0.410,1.000,0.420,7.000,0.120,7.000,0.130,1.000,-0.290,1.000,-0.300,17.000,0.000,16.000,0.000,1.000,175.000,-200.000
