Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,9-2,1,38.4%,1,42.7%,5,12.7%,5,13.2%,2,-21.2%,2,-25.1%,5,4.4%,5,4.5%
PIT,11-0,2,29.5%,2,31.7%,15,2.4%,15,2.1%,1,-25.8%,1,-28.3%,12,1.3%,15,1.3%
TB,7-5,3,26.2%,4,24.7%,6,11.3%,6,10.3%,3,-16.1%,4,-15.3%,20,-1.1%,18,-0.9%
KC,10-1,4,25.2%,3,26.8%,1,30.0%,1,31.5%,17,3.2%,17,3.8%,23,-1.7%,20,-0.9%
GB,8-3,5,18.4%,6,17.1%,2,27.1%,2,25.7%,18,6.5%,19,5.7%,25,-2.1%,25,-2.9%
LAR,7-4,6,17.0%,5,17.4%,7,11.2%,7,8.8%,6,-12.2%,3,-15.3%,29,-6.4%,29,-6.7%
IND,7-4,7,15.6%,7,15.5%,17,1.1%,14,2.3%,8,-11.4%,7,-10.9%,9,3.1%,12,2.4%
BAL,6-5,8,14.7%,11,10.4%,24,-6.7%,23,-8.8%,7,-11.4%,8,-9.5%,2,10.0%,2,9.7%
SEA,8-3,9,14.5%,8,13.6%,4,16.4%,4,14.7%,26,8.6%,24,8.1%,3,6.7%,3,7.0%
MIA,7-4,10,10.2%,9,13.4%,18,-1.3%,18,-1.9%,14,-1.2%,13,-3.8%,1,10.2%,1,11.5%
BUF,8-3,11,9.8%,10,11.8%,8,7.7%,9,6.6%,16,1.4%,16,-0.8%,8,3.5%,6,4.4%
TEN,8-3,12,7.6%,12,7.8%,3,23.7%,3,25.1%,28,9.3%,27,10.1%,30,-6.8%,30,-7.1%
ARI,6-5,13,5.4%,13,6.8%,13,3.9%,13,3.6%,11,-4.6%,10,-6.8%,26,-3.1%,27,-3.7%
SF,5-6,14,4.5%,14,4.1%,19,-1.4%,19,-2.9%,9,-5.8%,9,-6.9%,16,0.1%,16,0.1%
MIN,5-6,15,3.5%,15,2.3%,9,7.3%,8,7.2%,12,-4.0%,12,-4.2%,31,-7.8%,31,-9.0%
CAR,4-8,16,-0.7%,16,-1.3%,10,5.8%,12,4.2%,22,7.4%,22,6.9%,15,0.9%,14,1.4%
HOU,4-7,17,-3.1%,19,-4.4%,11,5.3%,11,4.6%,25,8.3%,25,8.8%,17,-0.2%,17,-0.2%
LV,6-5,18,-3.6%,18,-4.1%,14,2.5%,17,-0.7%,20,6.9%,18,5.0%,14,0.9%,13,1.6%
CHI,5-6,19,-4.5%,17,-3.6%,28,-18.7%,30,-19.9%,4,-12.6%,5,-13.8%,11,1.6%,10,2.6%
ATL,4-7,20,-6.9%,20,-4.5%,22,-5.0%,22,-6.1%,15,0.3%,15,-2.9%,22,-1.6%,24,-1.3%
WAS,4-7,21,-7.1%,21,-4.9%,27,-18.1%,26,-16.3%,5,-12.3%,6,-12.4%,21,-1.3%,19,-0.9%
CLE,8-3,22,-9.7%,22,-9.2%,16,1.3%,16,0.2%,19,6.8%,20,5.9%,27,-4.2%,26,-3.6%
NE,5-6,23,-11.7%,24,-13.2%,21,-3.5%,20,-4.3%,31,13.2%,32,14.9%,4,5.0%,4,6.0%
DET,4-7,24,-13.5%,25,-16.7%,20,-2.3%,21,-4.4%,30,10.9%,30,11.4%,18,-0.3%,21,-1.0%
NYG,4-7,25,-15.0%,23,-12.7%,25,-11.8%,24,-9.4%,21,7.0%,21,6.9%,7,3.7%,8,3.6%
LAC,3-8,26,-16.0%,27,-19.5%,12,4.5%,10,4.8%,23,7.8%,29,10.6%,32,-12.7%,32,-13.6%
PHI,3-7-1,27,-18.5%,26,-17.0%,30,-19.6%,29,-19.3%,13,-1.9%,14,-3.5%,19,-0.9%,22,-1.2%
DAL,3-8,28,-19.0%,29,-21.8%,26,-13.0%,27,-16.9%,24,8.0%,23,7.9%,10,2.0%,9,3.0%
JAX,1-10,29,-20.8%,28,-21.7%,23,-6.6%,25,-9.7%,32,15.3%,31,14.4%,13,1.1%,11,2.4%
DEN,4-7,30,-24.2%,30,-24.6%,32,-28.2%,32,-29.1%,10,-5.7%,11,-5.8%,24,-1.7%,23,-1.3%
CIN,2-8-1,31,-25.3%,31,-24.6%,29,-19.2%,28,-18.4%,29,9.9%,28,10.5%,6,3.8%,7,4.3%
NYJ,0-11,32,-38.8%,32,-40.4%,31,-25.0%,31,-26.1%,27,9.0%,26,9.6%,28,-4.8%,28,-4.8%

