Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
SF,1.000000,15.000000,0.025000,15.000000,0.025000,20.000000,-0.055000,20.000000,-0.055000,9.000000,-0.094000,9.000000,-0.094000,18.000000,-0.014000,18.000000,-0.014000,NYG,0.000000,26.000000,-0.218000,26.000000,-0.218000,31.000000,-0.363000,31.000000,-0.363000,7.000000,-0.121000,7.000000,-0.121000,8.000000,0.023000,8.000000,0.023000,0.000000
WAS,0.000000,16.000000,0.010000,16.000000,0.010000,30.000000,-0.326000,30.000000,-0.326000,1.000000,-0.362000,1.000000,-0.362000,21.000000,-0.027000,21.000000,-0.027000,CLE,1.000000,29.000000,-0.350000,29.000000,-0.350000,26.000000,-0.157000,26.000000,-0.157000,21.000000,0.075000,21.000000,0.075000,32.000000,-0.118000,32.000000,-0.118000,0.000000
ARI,0.000000,17.000000,0.002000,17.000000,0.002000,23.000000,-0.089000,23.000000,-0.089000,8.000000,-0.095000,8.000000,-0.095000,15.000000,-0.005000,15.000000,-0.005000,DET,1.000000,24.000000,-0.213000,24.000000,-0.213000,16.000000,-0.013000,16.000000,-0.013000,31.000000,0.226000,31.000000,0.226000,7.000000,0.026000,7.000000,0.026000,1.000000
CHI,1.000000,18.000000,-0.016000,18.000000,-0.016000,24.000000,-0.126000,24.000000,-0.126000,6.000000,-0.149000,6.000000,-0.149000,23.000000,-0.039000,23.000000,-0.039000,ATL,0.000000,21.000000,-0.096000,21.000000,-0.096000,13.000000,0.038000,13.000000,0.038000,28.000000,0.155000,28.000000,0.155000,9.000000,0.021000,9.000000,0.021000,0.000000
LAC,0.000000,19.000000,-0.045000,19.000000,-0.045000,17.000000,-0.021000,17.000000,-0.021000,13.000000,-0.036000,13.000000,-0.036000,26.000000,-0.060000,26.000000,-0.060000,CAR,1.000000,23.000000,-0.206000,23.000000,-0.206000,15.000000,-0.011000,15.000000,-0.011000,29.000000,0.182000,29.000000,0.182000,16.000000,-0.013000,16.000000,-0.013000,1.000000
LV,0.000000,20.000000,-0.086000,20.000000,-0.086000,10.000000,0.104000,10.000000,0.104000,30.000000,0.189000,30.000000,0.189000,14.000000,-0.001000,14.000000,-0.001000,NE,1.000000,9.000000,0.117000,9.000000,0.117000,4.000000,0.275000,4.000000,0.275000,19.000000,0.069000,19.000000,0.069000,30.000000,-0.090000,30.000000,-0.090000,0.000000
ATL,0.000000,21.000000,-0.096000,21.000000,-0.096000,13.000000,0.038000,13.000000,0.038000,28.000000,0.155000,28.000000,0.155000,9.000000,0.021000,9.000000,0.021000,CHI,1.000000,18.000000,-0.016000,18.000000,-0.016000,24.000000,-0.126000,24.000000,-0.126000,6.000000,-0.149000,6.000000,-0.149000,23.000000,-0.039000,23.000000,-0.039000,1.000000
HOU,0.000000,22.000000,-0.154000,22.000000,-0.154000,18.000000,-0.045000,18.000000,-0.045000,25.000000,0.114000,25.000000,0.114000,13.000000,0.005000,13.000000,0.005000,PIT,1.000000,3.000000,0.324000,3.000000,0.324000,14.000000,-0.011000,14.000000,-0.011000,2.000000,-0.353000,2.000000,-0.353000,19.000000,-0.019000,19.000000,-0.019000,0.000000
CAR,1.000000,23.000000,-0.206000,23.000000,-0.206000,15.000000,-0.011000,15.000000,-0.011000,29.000000,0.182000,29.000000,0.182000,16.000000,-0.013000,16.000000,-0.013000,LAC,0.000000,19.000000,-0.045000,19.000000,-0.045000,17.000000,-0.021000,17.000000,-0.021000,13.000000,-0.036000,13.000000,-0.036000,26.000000,-0.060000,26.000000,-0.060000,0.000000
DET,1.000000,24.000000,-0.213000,24.000000,-0.213000,16.000000,-0.013000,16.000000,-0.013000,31.000000,0.226000,31.000000,0.226000,7.000000,0.026000,7.000000,0.026000,ARI,0.000000,17.000000,0.002000,17.000000,0.002000,23.000000,-0.089000,23.000000,-0.089000,8.000000,-0.095000,8.000000,-0.095000,15.000000,-0.005000,15.000000,-0.005000,0.000000
MIN,0.000000,25.000000,-0.215000,25.000000,-0.215000,25.000000,-0.131000,25.000000,-0.131000,20.000000,0.070000,20.000000,0.070000,17.000000,-0.014000,17.000000,-0.014000,TEN,1.000000,13.000000,0.048000,13.000000,0.048000,9.000000,0.135000,9.000000,0.135000,16.000000,-0.008000,16.000000,-0.008000,31.000000,-0.095000,31.000000,-0.095000,1.000000
NYG,0.000000,26.000000,-0.218000,26.000000,-0.218000,31.000000,-0.363000,31.000000,-0.363000,7.000000,-0.121000,7.000000,-0.121000,8.000000,0.023000,8.000000,0.023000,SF,1.000000,15.000000,0.025000,15.000000,0.025000,20.000000,-0.055000,20.000000,-0.055000,9.000000,-0.094000,9.000000,-0.094000,18.000000,-0.014000,18.000000,-0.014000,1.000000
CIN-tie,1.000000,27.000000,-0.251000,27.000000,-0.251000,27.000000,-0.209000,27.000000,-0.209000,22.000000,0.076000,22.000000,0.076000,6.000000,0.035000,6.000000,0.035000,PHI-tie,1.000000,32.000000,-0.429000,32.000000,-0.429000,32.000000,-0.376000,32.000000,-0.376000,18.000000,0.064000,18.000000,0.064000,11.000000,0.011000,11.000000,0.011000,0.000000
NYJ,0.000000,28.000000,-0.272000,28.000000,-0.272000,29.000000,-0.273000,29.000000,-0.273000,11.000000,-0.059000,11.000000,-0.059000,25.000000,-0.057000,25.000000,-0.057000,IND,1.000000,8.000000,0.131000,8.000000,0.131000,21.000000,-0.066000,21.000000,-0.066000,5.000000,-0.182000,5.000000,-0.182000,10.000000,0.016000,10.000000,0.016000,0.000000
CLE,1.000000,29.000000,-0.350000,29.000000,-0.350000,26.000000,-0.157000,26.000000,-0.157000,21.000000,0.075000,21.000000,0.075000,32.000000,-0.118000,32.000000,-0.118000,WAS,0.000000,16.000000,0.010000,16.000000,0.010000,30.000000,-0.326000,30.000000,-0.326000,1.000000,-0.362000,1.000000,-0.362000,21.000000,-0.027000,21.000000,-0.027000,1.000000
DEN,0.000000,30.000000,-0.351000,30.000000,-0.351000,28.000000,-0.261000,28.000000,-0.261000,17.000000,0.006000,17.000000,0.006000,28.000000,-0.085000,28.000000,-0.085000,TB,1.000000,11.000000,0.078000,11.000000,0.078000,19.000000,-0.047000,19.000000,-0.047000,4.000000,-0.190000,4.000000,-0.190000,27.000000,-0.066000,27.000000,-0.066000,1.000000
MIA,1.000000,31.000000,-0.353000,31.000000,-0.353000,22.000000,-0.074000,22.000000,-0.074000,32.000000,0.346000,32.000000,0.346000,2.000000,0.066000,2.000000,0.066000,JAX,0.000000,12.000000,0.053000,12.000000,0.053000,6.000000,0.219000,6.000000,0.219000,27.000000,0.127000,27.000000,0.127000,24.000000,-0.039000,24.000000,-0.039000,0.000000
PHI-tie,0.000000,32.000000,-0.429000,32.000000,-0.429000,32.000000,-0.376000,32.000000,-0.376000,18.000000,0.064000,18.000000,0.064000,11.000000,0.011000,11.000000,0.011000,CIN-tie,0.000000,27.000000,-0.251000,27.000000,-0.251000,27.000000,-0.209000,27.000000,-0.209000,22.000000,0.076000,22.000000,0.076000,6.000000,0.035000,6.000000,0.035000,1.000000
